BGLValue,FGLValue,NuetralValue,Region,Distance,BGFG,bgN
0,0,1,4,1.560070309,0,1
0,0,1,6,16.347969,0,1
0,1,1,3,6.847574296,1,1
0,0,1,3,97.34095759,0,1
0,1,0,5,1.416882805,1,0
0,1,1,1,85.6716317,1,1
0,1,1,2,5.309881037,1,1
0,0,1,6,13.33210334,0,1
0,1,1,2,4.701065444,1,1
0,1,1,6,4.939529054,1,1
0,1,1,2,48.46759893,1,1
0,1,1,4,5.749528743,1,1
0,1,1,1,38.67045148,1,1
0,1,1,2,65.02669496,1,1
0,1,1,2,12.16194081,1,1
0,1,1,1,66.67822276,1,1
0,1,1,2,47.95148244,1,1
0,0,1,4,20.86224282,0,1
0,0,1,5,18.9785926,0,1
0,1,1,5,3.599824948,1,1
0,0,1,6,41.13451846,0,1
0,1,1,4,3.21701552,1,1
0,1,1,3,2.915234756,1,1
0,1,0,4,3.212918141,1,0
0,0,1,1,61.48494488,0,1
0,0,1,6,12.96190178,0,1
0,1,1,3,7.401145298,1,1
0,1,1,2,2.657344207,1,1
0,0,1,2,4.877645435,0,1
0,1,1,4,4.642303487,1,1
0,0,0,2,11.23998895,0,0
0,0,1,6,12.2047795,0,1
0,0,1,6,5.749782707,0,1
0,1,1,6,3.852164006,1,1
0,0,1,1,4.968124743,0,1
0,0,0,3,10.21714343,0,0
0,1,1,4,6.66878985,1,1
0,1,1,4,5.970938368,1,1
0,1,1,3,5.011371612,1,1
0,1,1,6,4.825645446,1,1
0,1,1,4,1.657513979,1,1
0,0,1,5,21.00378201,0,1
0,0,0,6,9.050589719,0,0
0,0,1,6,4.393389681,0,1
0,1,1,5,2.741396626,1,1
0,1,1,2,2.347688662,1,1
0,1,1,4,2.943182598,1,1
0,1,0,4,3.927800256,1,0
0,0,1,5,2.020758349,0,1
0,1,0,3,4.579633924,1,0
0,1,1,3,6.70967602,1,1
0,0,1,6,9.463209006,0,1
0,0,1,5,5.109926092,0,1
0,1,1,1,5.403276288,1,1
0,1,1,2,3.650416707,1,1
0,1,1,1,3.435672605,1,1
0,0,0,6,4.419085636,0,0
0,1,0,6,4.350876261,1,0
0,1,1,2,3.484652396,1,1
0,1,1,2,2.622824677,1,1
0,1,1,2,5.623900147,1,1
0,0,0,3,10.21714343,0,0
0,1,1,3,6.502581653,1,1
0,0,1,5,1.898552893,0,1
0,1,1,6,3.791279943,1,1
0,0,1,6,9.586950842,0,1
0,1,1,6,3.791279943,1,1
0,1,1,5,4.637240792,1,1
0,1,1,6,3.213626697,1,1
0,1,1,4,3.143082708,1,1
0,1,0,1,4.461418707,1,0
