Type,Bg_RRGGBB, Bg_L,Bg_a,Bg_b,Bg_TD_RRGGBB,Bg_TD_L,Bg_TD_a,Bg_TD_b,Bg_ND_RRGGBB,Bg_ND_L,Bg_ND_a,Bg_ND_b,Fg_L,Fg_a,Fg_b,CD_Fg_L,CD_Fg_a,CD_Fg_b,Com_Fg_L,Com_Fg_a,Com_Fg_b,GammutFlag,ComS_Fg_L,ComS_Fg_a,ComS_Fg_b,Measured_L,Measured_a,Measured_b
BPTD,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,38.2456562,-35.19773417,12.67831082,38.88116341,-25.67885323,4.764093108,29.83462039,-83.14485303,-20.00617853,1,44.98340137,-44.45134598,26.22787732,54.04821842,-19.05681209,-16.38867848
BPTD,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,62.30359365,-19.16899632,9.695759294,58.67228915,-13.42542882,-3.124433481,54.29535488,-25.09113372,37.02581218,0,57.45100542,-19.31945124,53.34876223,61.90363941,-18.57357505,0.59966585
BPTD,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,45.09203316,79.6987129,-56.61576009,30.96110402,71.22823075,-66.94219033,16.5719128,92.37218984,-59.29817438,1,41.88105194,78.49350495,-68.47126243,40.39379641,71.37238878,-79.971857
BPTD,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,57.51623872,-14.83143933,53.2619988,53.5892576,-22.09807864,41.17921348,48.47213508,-39.36576133,4.673671095,1,52.47743755,-45.35869512,18.06914101,60.01500941,-19.21301613,-16.89401684
BPTD,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,57.55960075,4.525768048,-14.05765619,52.84536601,7.769966879,-29.74612821,47.60304121,-1.097513421,-6.671486348,0,52.91139038,4.545596707,9.416982421,57.4052056,5.072096146,-28.36592948
BPTD,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,71.6788979,-9.996248536,47.25752628,60.10045497,-20.62170353,28.3742017,55.90097235,-33.29504301,39.18779512,0,85.47286483,-62.56177899,72.36549239,66.42047532,-23.59284098,5.28211508
BPTD,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,84.37690563,-78.81255411,62.03320774,57.35205892,-40.89630404,24.6885643,52.8002067,-61.54030307,32.33518518,1,80.7335906,-78.15830617,67.33825005,65.3024557,-36.12559397,4.038222773
BPTD,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,66.81570717,-61.10192077,37.70211448,57.02667143,-39.72538852,20.80879523,52.42998908,-60.26248007,36.75781612,1,85.31837909,-82.22993803,72.09958185,64.80350931,-35.44625099,3.615461748
BPTD,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,39.05095395,-18.87926173,18.41945002,38.39315009,-18.94555525,6.11410652,29.13039239,-65.87841651,-22.95057315,1,47.52907826,-40.36278522,12.9959441,56.34717676,-14.14173379,-21.14139729
BPTD,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,50.95864489,79.44505797,-21.94781734,32.07854547,64.31727983,-62.44091877,18.79522573,79.88022999,-51.15356622,1,36.69905948,66.27215964,-31.15575169,40.50808641,60.56920192,-66.52403574
BPTD,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,76.43740321,-4.773123565,19.19624304,60.94016,-3.84181332,-11.04363162,56.83973765,-12.70197047,17.27799383,0,71.51509354,27.78388958,41.9981007,65.67073515,-8.81174743,-8.911664451
BPTD,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,62.30359365,-19.16899632,9.695759294,58.67228915,-13.42542882,-3.124433481,54.29535488,-25.09113372,37.02581218,0,57.45100542,-19.31945124,53.34876223,61.90363941,-18.57357505,0.59966585
BPTD,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,71.65849553,23.29528548,-32.90925436,61.43791406,-1.420294388,-15.29173545,57.39447511,-9.707315296,9.625070567,0,62.37573164,-4.918658992,23.78560592,64.84333362,-5.991326206,-14.61771685
BPTD,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,71.6389507,-19.22928946,-9.4280082,60.10943809,-6.350926567,-18.7727488,55.91103524,-15.94869348,5.154881258,0,57.47725997,-18.79839407,18.82761491,61.80922107,-9.434201221,-19.12265322
BPTD,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,29.44949889,-29.10216501,28.56689055,30.97289737,-25.8361042,17.39563366,16.59641525,-7.196301801,-56.71387537,1,34.38067295,-14.55965324,-18.31898773,45.34521797,8.758562892,-47.1431239
BPTD,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,66.8087522,-18.74550256,18.86048193,59.57576353,-14.85100968,2.944916286,55.31243928,-26.44297201,51.22868778,0,62.29552266,-14.98192531,58.45558524,65.11310432,-15.89801176,5.51964929
BPTD,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,52.57500345,-52.63953111,37.49707105,51.19806117,-42.44886721,29.71565009,45.66005732,-72.44823028,4.42759352,1,80.46332677,-73.7439053,51.75717765,65.14472429,-28.9680882,-7.870450651
BPTD,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,52.9803443,9.09596879,0.401837621,49.62925475,3.614670146,-11.74095426,43.78341536,-7.624798706,39.96073482,0,48.06854832,7.752250537,54.89144154,53.10237652,-1.09840455,-6.338852465
BPTD,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,57.29752305,13.60516431,47.03089555,50.26925961,-10.39592745,29.86590505,44.55231801,-26.02875447,1.305248392,0,47.52907826,-40.36278522,12.9959441,55.73564996,-15.56794059,-22.81461638
BPTD,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,62.01717677,28.06549846,37.45186389,50.66379888,-6.7053851,15.77733743,45.02400869,-20.7484219,15.5121953,0,48.22914123,-18.94123589,28.24554224,54.65791245,-10.41493509,-16.69100925
BPTD,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,66.8087522,-18.74550256,18.86048193,59.57576353,-14.85100968,2.944916286,55.31243928,-26.44297201,51.22868778,0,62.29552266,-14.98192531,58.45558524,65.11310432,-15.89801176,5.51964929
BPTD,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,43.2863942,-39.38357736,23.00033265,43.04814441,-34.34487573,13.38171844,35.53546256,-81.30022684,-11.325039,1,57.15875479,-51.86874984,27.55221864,63.83570951,-27.73142333,-8.322148717
BPTD,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,85.59175952,-47.60300041,18.7274682,60.2081127,-8.137537039,-18.60806288,56.02154155,-18.05698728,5.336737591,0,62.15312467,-18.45805382,13.86598489,65.96608298,-10.75602035,-20.40498961
BPTD,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,80.92393762,-43.09611457,9.106352235,59.75298008,-9.543296479,-19.39821663,55.51139008,-19.91424996,4.448495556,0,57.39152779,-23.08342703,13.59649361,62.03202402,-11.26343288,-22.33350292
BPTD,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,61.85814863,47.11510384,31.96905402,45.92049135,7.33233073,1.03204489,39.22260583,-4.453744346,15.05855691,0,43.52569323,8.59802389,27.61634401,49.6775382,9.831029053,-20.69862398
BPTD,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,80.94115992,-9.626769384,-28.78324139,60.6313018,-4.790820261,-17.15104957,56.49487846,-13.92065586,7.317477283,0,62.19297282,-9.437174979,23.41534094,65.07354467,-7.958254272,-14.38585224
BPTD,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,61.87826445,-48.04263285,32.72794235,57.98955976,-34.49240932,22.46894752,53.52353744,-52.33702734,38.64324433,0,56.99435407,-58.1315582,47.3933732,62.97754944,-34.02374398,3.02903138
BPTD,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,71.58147304,-0.605649886,52.27495959,59.65311386,-20.88978114,32.97391979,55.39929776,-33.85209756,31.4059441,0,76.02191842,-57.66916672,57.02674335,66.0125227,-26.76972849,0.366216177
