Type,Method,Bg_RRGGBB, Bg_L,Bg_a,Bg_b,Bg_TD_RRGGBB,Bg_TD_L,Bg_TD_a,Bg_TD_b,Bg_ND_RRGGBB,Bg_ND_L,Bg_ND_a,Bg_ND_b,Fg_L,Fg_a,Fg_b,CD_Fg_L,CD_Fg_a,CD_Fg_b,Com_Fg_L,Com_Fg_a,Com_Fg_b,GammutFlag,ComS_Fg_L,ComS_Fg_a,ComS_Fg_b,Measured_L,Measured_a,Measured_b
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,,15.26408965,16.43366418,-36.62239023,0x373fa6,31.33946152,32.58337179,-58.93719936,85.62273281,-43.27801496,72.34231855,61.255277,-3.980582,32.348785,92.1632788,-47.1257266,88.69614303,1,54.07323206,-19.52295012,6.921210255,64.45939,0.92756,26.54972
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,,15.26408965,16.43366418,-36.62239023,0x373fa6,31.33946152,32.58337179,-58.93719936,81.10171694,-9.464144129,-14.17871249,63.052552,-4.632193,1.885585,90.27044106,-52.43850078,66.70489904,0,56.24125242,-19.35936868,82.42023579,64.35477,-4.44706,11.86009
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,,15.26408965,16.43366418,-36.62239023,0x373fa6,31.33946152,32.58337179,-58.93719936,31.08120232,-27.1829849,6.50252463,48.79733109,-32.13677052,4.618736086,33.84509602,-41.4070041,39.96769186,1,37.7229907,-104.9119654,-15.7993912,54.06942,-29.61162,11.96488
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,,15.26408965,16.43366418,-36.62239023,0x373fa6,31.33946152,32.58337179,-58.93719936,66.71872872,37.67944675,-42.60066542,58.45236072,7.329659462,-2.93783096,76.18052609,-28.32431612,42.57836894,0,50.62115302,-5.690809878,52.77276058,28.90217,-11.06387,-13.80051
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,,15.26408965,16.43366418,-36.62239023,0x373fa6,31.33946152,32.58337179,-58.93719936,61.94411143,-53.48604822,37.29525324,50.71059693,-22.60356181,14.60363168,38.45051249,-39.44299392,43.91153164,1,40.44870994,-66.47404497,-16.9081851,43.95921,-7.74536,1.33804
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,,15.26408965,16.43366418,-36.62239023,0x373fa6,31.33946152,32.58337179,-58.93719936,66.99395961,8.769896655,-32.79258008,57.645817,-2.901117,-2.732258,23.6935121,39.47207508,1.855896029,0,49.60943545,-20.47693826,44.65376565,39.79857,22.41716,-15.1849
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,,15.26408965,16.43366418,-36.62239023,0x373fa6,31.33946152,32.58337179,-58.93719936,66.937441,33.11907029,-23.69776274,58.98358216,9.574920854,2.00701629,76.21079249,-19.38658469,56.93270934,0,51.28275609,-2.423395286,39.86283726,61.50726,6.2064,9.0453
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,,15.26408965,16.43366418,-36.62239023,0x373fa6,31.33946152,32.58337179,-58.93719936,61.92858139,57.02688771,-33.34931246,55.1751923,18.20888378,-1.141980708,43.64582083,-5.032928514,23.18203586,0,46.45006661,7.846628839,23.18492895,49.73779,5.68798,-5.59839
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,,15.26408965,16.43366418,-36.62239023,0x373fa6,31.33946152,32.58337179,-58.93719936,90.24170559,-62.08849178,42.19681291,58.59289024,-13.49850395,11.76600533,17.16883684,37.03944387,17.8643026,0,50.79653175,-35.10903846,18.33196983,42.92852,42.25575,-4.48681
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,,15.26408965,16.43366418,-36.62239023,0x373fa6,31.33946152,32.58337179,-58.93719936,61.66338338,66.8664011,-19.66113536,54.61620175,26.007374,2.986041681,66.5714749,46.77349657,37.27364144,0,45.72118098,18.33261038,12.51642655,56.97786,24.93277,3.09386
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,,15.26408965,16.43366418,-36.62239023,0x373fa6,31.33946152,32.58337179,-58.93719936,67.20484523,-52.68049697,16.63291152,53.0041731,-33.8709059,2.870500597,85.31837909,-82.22993803,72.09958185,1,43.58581103,-83.1356772,4.840432811,57.0949,-32.24387,2.00842
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,,15.26408965,16.43366418,-36.62239023,0x373fa6,31.33946152,32.58337179,-58.93719936,42.67696375,41.64371326,53.49011005,43.33032,30.06921,40.637347,61.62470777,56.58104014,36.54577926,0,29.11687221,22.95346911,-53.61277948,55.35958,28.83732,3.47433
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,,15.26408965,16.43366418,-36.62239023,0x373fa6,31.33946152,32.58337179,-58.93719936,38.27894314,37.38821265,22.31513024,42.246418,23.866645,15.317337,38.47722578,22.46378783,46.09155304,0,27.19586028,11.39385191,-49.0909485,46.65803,21.46006,6.60646
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,,15.26408965,16.43366418,-36.62239023,0x373fa6,31.33946152,32.58337179,-58.93719936,42.82788179,78.40835318,-65.81656517,43.959207,29.700809,-20.159756,24.41905795,38.04642693,-38.10804332,0,30.19024817,22.33318228,-5.529963473,42.58188,13.86282,-20.8094
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,,15.26408965,16.43366418,-36.62239023,0x373fa6,31.33946152,32.58337179,-58.93719936,76.22086492,-60.65801008,23.36994705,55.86684939,-37.89191339,2.526399997,85.31837909,-82.22993803,72.09958185,1,47.34438331,-81.47451477,19.80398094,58.00856,-30.59299,4.64372
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,,15.26408965,16.43366418,-36.62239023,0x373fa6,31.33946152,32.58337179,-58.93719936,38.59973747,32.69640939,-0.412225452,43.226674,20.162435,5.014788,38.59717613,17.3344547,47.65322731,0,28.93723217,4.893520994,-39.18115509,46.92197,17.24677,9.301
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,,15.26408965,16.43366418,-36.62239023,0x373fa6,31.33946152,32.58337179,-58.93719936,71.75772738,-14.21981944,0.199042006,59.59853,-3.831346,7.239419,28.58315112,38.15546234,16.14804814,0,52.04415905,-20.38267314,31.24713104,43.15242,26.75257,-9.20465
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,,15.26408965,16.43366418,-36.62239023,0x373fa6,31.33946152,32.58337179,-58.93719936,11.16003177,14.52926155,-23.57955868,30.83098443,-3.432559991,-15.30670777,15.69597027,-24.6806445,22.23356244,0,8.274670736,69.22190666,-75.521716,41.53224,-12.09278,-0.38838
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,,15.26408965,16.43366418,-36.62239023,0x373fa6,31.33946152,32.58337179,-58.93719936,90.48764336,-14.08100593,33.17943877,65.80312811,2.345123003,18.24484163,90.50702591,-38.9075525,77.18621951,0,59.5015386,-9.116751691,43.48105651,65.02602,3.20662,16.08215
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,,15.26408965,16.43366418,-36.62239023,0x373fa6,31.33946152,32.58337179,-58.93719936,48.28343612,-9.97841082,28.01648595,44.4045363,7.358995133,37.9373679,39.05499147,-4.781467536,-4.200074256,0,30.93418806,-19.36707936,-49.39245531,59.4343,-0.02488,-6.86759
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,,15.26408965,16.43366418,-36.62239023,0x373fa6,31.33946152,32.58337179,-58.93719936,71.54345436,-14.41468324,-18.7959523,57.48237276,-7.744463549,-1.511857336,21.70059833,45.69041783,-13.21708205,0,49.40330878,-27.67136514,39.33723303,46.5917,38.13834,-16.43407
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,,15.26408965,16.43366418,-36.62239023,0x373fa6,31.33946152,32.58337179,-58.93719936,60.08678085,-53.73972695,28.69036226,49.33805068,-35.47629439,7.641318851,81.73500828,-81.15659656,78.19628366,1,38.50476346,-112.2297953,-16.41571417,55.25726,-31.63578,14.97229
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,,15.26408965,16.43366418,-36.62239023,0x373fa6,31.33946152,32.58337179,-58.93719936,66.91479548,-23.70494825,14.09593895,52.40899486,-1.381528235,11.27449338,76.02191842,-57.66916672,57.02674335,0,42.78372692,-23.09778244,-7.489060603,60.18571,-8.27611,6.49909
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,,15.26408965,16.43366418,-36.62239023,0x373fa6,31.33946152,32.58337179,-58.93719936,46.37619409,79.59849846,-45.14072427,44.70251981,35.25714836,-9.502675563,29.51271991,23.20496675,-0.133394188,0,31.42504985,31.35193949,-18.73951457,55.49217,14.41716,7.68947
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,,15.26408965,16.43366418,-36.62239023,0x373fa6,31.33946152,32.58337179,-58.93719936,31.79211299,56.04654105,19.44139569,34.128245,42.800616,19.337477,31.68778684,56.42926523,9.587906903,0,5.181309831,71.0706096,-93.56279887,38.60337,38.40448,-14.90706
