Type,Method,Bg_RRGGBB, Bg_L,Bg_a,Bg_b,Bg_TD_RRGGBB,Bg_TD_L,Bg_TD_a,Bg_TD_b,Bg_ND_RRGGBB,Bg_ND_L,Bg_ND_a,Bg_ND_b,Fg_L,Fg_a,Fg_b,CD_Fg_L,CD_Fg_a,CD_Fg_b,Com_Fg_L,Com_Fg_a,Com_Fg_b,GammutFlag,ComS_Fg_L,ComS_Fg_a,ComS_Fg_b,Measured_L,Measured_a,Measured_b
1,,,,,,,,,,,,,,85.89332611,9.304369696,-9.540843249,84.25390189,6.537575347,-27.14844502,81.91090982,2.538827628,-15.91090911,0,85.72276273,9.732348756,4.611332952,83.34230984,9.0726538,-27.18998692
1,,,,,,,,,,,,,,47.21810925,57.80968598,16.95527538,37.11474085,50.83024249,4.245845565,27.238457,54.75026755,-26.46518773,1,42.0194061,63.99901742,-11.7505758,41.7514699,52.72496537,-51.36556812
1,,,,,,,,,,,,,,62.01161822,37.40311007,4.425166287,52.18031245,37.72737908,-14.12708612,46.82178461,34.9762154,24.60962564,0,57.19576987,37.45280256,37.00958967,51.78063334,37.50511517,-16.24835694
1,,,,,,,,,,,,,,71.61475063,18.4415479,32.91773618,62.68030804,11.98902593,21.83277661,58.77375675,6.082167269,68.35700239,1,71.48114539,15.95140534,75.00165301,66.61151178,12.49339814,12.76952396
1,,,,,,,,,,,,,,20.63762889,-4.470993083,-4.475970067,17.24974302,-1.144460201,-5.684334449,15.83043298,33.86506286,-58.21673243,0,34.53963727,-0.227403542,-4.078207839,35.92647043,27.71278745,-60.06365831
1,,,,,,,,,,,,,,71.55810699,42.40770986,-9.526892305,64.92683719,44.87093523,-33.43927197,61.24994902,42.9866101,-18.32225302,0,71.54210992,42.41345909,-0.055276394,66.21315631,44.03602162,-31.42589617
1,,,,,,,,,,,,,,62.06477148,37.51897454,-52.13341849,57.7081191,55.91579937,-72.91703604,53.2045267,55.4759474,-65.40467311,0,57.31961654,47.20203139,-37.68795923,55.86684939,51.29662154,-72.36095841
1,,,,,,,,,,,,,,32.02841382,65.66983888,-59.43355056,28.31386325,61.28567486,-76.26097408,10.21275416,88.49716969,-77.81412197,1,26.99724836,61.31876965,-64.42333595,35.3607351,48.58517122,-72.39185263
1,,,,,,,,,,,,,,66.8407257,14.2596019,27.81151295,57.78465429,4.24054679,20.69375174,53.29132857,-3.973768369,40.73133207,0,62.09983189,4.054826951,47.36918304,57.77031603,4.765998739,-6.458230156
1,,,,,,,,,,,,,,66.76901601,33.14132789,-9.672258017,59.18661562,33.83236171,-32.17795865,54.87493917,30.61182589,-14.23913191,0,62.0352107,32.95988579,4.354111475,57.35689362,34.88143099,-27.86540334
1,,,,,,,,,,,,,,34.07215977,-10.28060871,-23.67840227,27.54549315,9.101151216,-38.65935733,7.848673434,-25.79634194,-19.74386609,1,20.7806597,-9.55543432,-0.056712101,30.10816838,28.56779343,-56.95800112
1,,,,,,,,,,,,,,85.37759809,-63.1748376,18.15105365,86.59310526,-63.12553186,10.87237176,84.35933744,-72.73429097,30.78197221,0,84.60380463,-68.59839722,31.69429638,86.99195936,-60.94942707,15.06373944
1,,,,,,,,,,,,,,48.80414075,9.128065033,53.88837698,38.50721897,1.142898376,33.03865404,29.29583097,-21.11758262,-35.61944107,1,47.97178038,-28.04758655,-9.481025119,46.63151234,9.07963426,-51.81677114
1,,,,,,,,,,,,,,95.35027894,-23.8717533,52.16837501,96.22238137,-46.27299863,53.35059282,94.36529621,-52.44906952,88.47691527,0,95.06022507,-28.77435224,76.66216232,95.48003261,-41.91927921,54.15303623
1,,,,,,,,,,,,,,52.7228067,37.70576144,-14.29759111,42.68025703,38.78605095,-34.92591222,35.05096033,36.80509262,-5.737713031,0,47.75002984,37.43890455,13.36970082,43.74133029,34.13516251,-30.41262912
1,,,,,,,,,,,,,,34.19040371,13.32363792,27.81799485,23.35485669,3.268477471,9.966082421,4.662031566,50.37340444,-78.91883487,1,34.18676798,13.94913802,-0.502731908,34.88293313,32.48766043,-59.59596464
1,,,,,,,,,,,,,,41.0192224,65.74965208,33.94653917,34.67104457,45.87501242,25.90145046,23.38469505,49.76636432,-45.65933247,0,42.41898888,58.38857723,-2.034226797,39.91530053,54.14075389,-56.36875702
1,,,,,,,,,,,,,,66.90132171,-43.31269418,57.95590151,62.64246883,-56.89767577,56.45436968,58.73185712,-77.90755901,22.54675963,1,71.32309436,-61.74037633,32.44522865,70.32978349,-41.68342284,-3.698787206
1,,,,,,,,,,,,,,76.47888874,-4.687502243,4.794056884,72.77651423,-16.35291102,-11.52867348,69.75623624,-24.06018373,7.549070793,0,71.51723752,-13.96263951,18.74893611,70.21093919,-18.2971874,-4.166371182
1,,,,,,,,,,,,,,80.90956241,-42.82638045,47.19177386,78.91148853,-64.77105596,45.4064317,76.28596582,-77.20857289,122.9689992,1,85.50009762,-57.86295707,78.23611781,85.02701292,-61.85375707,39.66422268
1,,,,,,,,,,,,,,56.82979993,57.01569021,36.3440368,46.73744322,52.74183128,26.18300963,40.24434059,53.31957508,-7.666006594,0,46.27218258,74.38440212,1.906874998,47.49496263,57.22367683,-38.98207528
1,,,,,,,,,,,,,,38.49261085,30.89328815,-70.75710507,36.35705784,61.30231482,-96.17175726,26.08061631,69.30978246,-95.94733892,0,28.60574946,45.33941809,-76.11243625,36.36654625,62.37498364,-95.03901239
1,,,,,,,,,,,,,,29.72330602,-5.984132036,38.33679316,21.15093775,-6.818328108,9.538239718,10.07743812,49.90719503,-70.38826826,1,38.98544942,8.794307568,-9.00886791,38.63824645,29.61966996,-59.36395098
1,,,,,,,,,,,,,,62.02080898,-43.56998028,58.96996058,56.86533462,-50.3876774,51.4963923,52.2461614,-75.50415631,8.824780527,1,73.29187297,-61.34542415,28.99889816,70.72589284,-38.25112362,-9.270999781
1,,,,,,,,,,,,,,71.63307746,4.370947562,28.30768686,64.34671089,-6.411621615,19.09801639,60.61259252,-14.76599179,103.1932742,1,71.45518099,-5.416638264,73.76822765,67.0136129,-8.278577152,12.60896209
1,,,,,,,,,,,,,,62.01161822,37.40311007,4.425166287,52.18031245,37.72737908,-14.12708612,46.82178461,34.9762154,24.60962564,0,57.19576987,37.45280256,37.00958967,51.78063334,37.50511517,-16.24835694
1,,,,,,,,,,,,,,47.98383616,-18.86916661,-5.282338583,40.08949262,-17.4645289,-17.75605636,31.54110517,-54.4754363,23.76529901,1,43.13899127,-49.1275702,47.4198902,44.67426636,-8.889391846,-25.79203199
1,,,,,,,,,,,,,,66.99844775,-14.14888974,4.768897639,61.88648946,-20.05391671,-8.95393088,57.8933375,-31.77215045,19.90441222,0,62.31976912,-18.91724243,28.21550228,60.22154855,-19.7350416,-4.404066077
1,,,,,,,,,,,,,,46.47557419,73.73919053,15.86947355,41.82158507,55.61685064,11.67605243,33.90756566,58.34569879,-14.4480131,0,42.64662456,69.53617696,-0.121365089,43.94473133,54.23814178,-44.38850855
1,,,,,,,,,,,,,,18.06757213,36.19730106,27.66889087,14.00129654,26.29594222,-6.270173141,18.76176867,10.36730581,-54.5809354,1,22.66227262,47.02395635,-8.837929456,31.98834161,36.82184479,-61.47466162
1,,,,,,,,,,,,,,57.42057006,-57.07103873,42.54717252,53.75004666,-50.96280881,33.95091516,48.65934953,-81.35497981,9.716898439,1,71.40174567,-58.37086583,32.62005979,68.23380997,-34.99459989,-10.70966948
