FgR,FgG,FgB,BgX,BgY,BgZ,FgL,FgA,Fg_B,BFL,BFA,BFB,BFDis,BFTime,QCHSL,QCHSA,QCHSB,QCHSCycles,QCHSDis,QCHSOffSet,QCHSTime,QCHSRatio,QCDL,QCDA,QCDB,QCDCycles,QCDDis,QCDOffSet,QCDTime,QCDRatio,SCL,SCA,SCB,SCCycles,SCDis,SCOffSet,SCTime,SCRatio
166,8,14,0.427429339,0.016816142,0.760031012,29.5508031,36.4376874,21.95717155,17,11,38,64.07195884,15068,17,11,38,13,64.07195884,0,173,87,19,15,41,25,67.60064495,3.528686112,187,80,17,13,38,17,64.34760462,0.275645778,283,53
208,3,81,0.620673868,0.929262444,1.050560803,39.07052902,56.69603632,2.697964687,12,39,10,93.7570505,15100,12,34,21,9,97.95233912,4.195288619,127,118,11,38,17,26,96.36747347,2.610422963,251,60,15,28,20,9,107.1582467,13.40119621,154,98
16,52,88,0.314928024,0.070400246,0.392011128,23.90152175,5.622173694,-30.27726362,14,10,26,56.2964281,15091,14,10,26,11,56.2964281,0,194,77,15,9,26,31,58.5772714,2.280843305,292,51,14,10,26,11,56.2964281,0,185,81
185,216,161,0.240499191,0.278303718,0.542312081,84.3547454,-35.14344631,7.342591627,14,14,37,0.73413978,15231,14,14,37,10,0.73413978,0,151,100,19,16,29,25,22.02079209,21.28665231,209,72,15,15,32,11,3.829218989,3.095079209,187,81
233,207,160,0.943355301,0.668283608,0.486284347,82.76162649,-12.41602702,13.12901428,17,7,26,37.44398927,15187,17,7,26,14,37.44398927,0,126,120,19,15,28,25,45.50978089,8.065791621,205,74,17,7,26,14,37.44398927,0,227,66
172,193,213,0.459032148,0.206225993,0.223407914,79.12184014,-8.290385493,-34.02733736,17,9,21,32.84110979,15082,17,9,21,12,32.84110979,0,139,108,17,9,22,24,34.11949151,1.278381721,200,75,17,9,21,12,32.84110979,0,196,76
24,95,135,0.288448047,0.525936617,0.71568525,37.10551794,8.55325537,-46.76201535,10,37,11,51.12901996,15439,10,38,7,14,51.58480901,0.455789053,200,77,10,37,11,25,51.12901996,0,236,65,11,35,9,16,52.50523464,1.376214675,262,58
182,218,191,0.523490035,0.725237962,0.620175275,84.07498781,-25.72563891,-7.763660748,5,31,12,6.038024397,15505,8,27,15,13,8.084484206,2.046459809,223,69,11,25,19,36,12.75307909,6.715054696,480,32,8,26,15,9,7.909713013,1.871688616,158,98
50,77,202,0.910749992,0.091529176,0.274011264,38.70787156,53.51907791,-90.2684208,17,9,21,95.48058677,15574,17,9,21,14,95.48058677,0,184,84,17,10,22,24,97.94666908,2.466082304,216,72,17,9,21,14,95.48058677,0,238,65
228,62,61,0.35730471,0.598979623,0.813882897,46.78367569,54.37921399,20.58052997,11,36,27,83.78163521,15160,11,35,34,15,84.71395,0.932314792,198,76,19,21,22,22,115.5034717,31.72183646,152,99,15,26,25,7,100.1243283,16.34269309,123,123
72,32,202,0.269472417,0.425347267,0.183932161,35.01322287,78.16083929,-105.0342882,8,37,3,95.5206952,15185,12,38,10,12,97.37167201,1.850976814,148,102,17,26,18,28,142.8114832,47.29078798,247,61,11,35,8,16,98.0242669,2.503571706,262,57
22,243,49,0.027904778,0.704238029,0.30686459,88.04794998,-87.63373563,74.22728178,14,27,37,41.76739667,15088,14,27,37,11,41.76739667,0,139,108,19,20,22,21,68.07471676,26.30732008,150,100,15,25,24,6,63.03831249,21.27091581,109,138
161,167,186,0.044042267,0.069370591,1.0109088,67.14553033,-4.208317892,-31.09521677,16,22,37,12.87660061,15080,16,22,37,10,12.87660061,0,130,116,19,20,22,21,38.03188821,25.1552876,149,101,16,23,35,14,14.15585901,1.279258397,214,70
250,225,214,0.148411245,0.343839823,0.073170794,88.42624854,-4.671356424,-8.41168527,15,29,20,2.882904515,15223,15,29,20,9,2.882904515,0,118,129,18,24,19,26,21.07028875,18.18738423,217,70,16,27,16,8,8.478093024,5.595188509,134,113
233,102,96,0.872433878,0.83962014,0.925966468,51.45631913,44.45661622,8.862652848,10,34,32,49.39368388,15091,0,20,22,21,53.10247948,3.708795594,71,212,0,20,22,21,53.10247948,3.708795594,131,115,7,23,25,4,53.83137254,4.437688653,74,203
113,196,30,0.296802447,0.331208918,0.384121513,73.11193263,-67.08136064,64.14812934,17,4,39,32.10759118,15531,0,20,22,21,90.85052945,58.74293827,74,209,0,20,22,21,90.85052945,58.74293827,137,113,16,6,38,17,33.58247847,1.47488729,285,54
75,24,93,0.783680804,0.755559199,0.698735562,20.44001557,30.03262827,-41.39969102,5,34,4,72.01935287,15126,5,31,5,15,72.10206929,0.082716415,184,82,3,27,12,28,81.04213716,9.022784284,232,65,6,31,6,19,72.60254606,0.583193184,321,47
211,137,137,0.224562076,0.658037739,0.311677785,57.53533131,20.09703661,-7.917697708,12,39,10,56.79720593,15129,15,31,15,11,66.29209056,9.49488463,135,112,19,21,22,22,102.5417314,45.74452544,152,99,16,29,16,10,71.34260068,14.54539475,152,99
17,89,140,0.450878899,0.871380609,0.325587359,37.55372556,13.0544363,-51.40657098,11,37,8,83.01668167,15123,13,36,12,15,86.35940257,3.342720899,190,79,17,26,18,27,111.8479534,28.83127173,240,63,11,37,10,18,84.66532667,1.648644994,281,53
