FgR,FgG,FgB,BgX,BgY,BgZ,FgL,FgA,Fg_B,BFL,BFA,BFB,BFDis,BFTime,QCHSL,QCHSA,QCHSB,QCHSCycles,QCHSDis,QCHSOffSet,QCHSTime,QCHSRatio,QCDL,QCDA,QCDB,QCDCycles,QCDDis,QCDOffSet,QCDTime,QCDRatio,SCL,SCA,SCB,SCCycles,SCDis,SCOffSet,SCTime,SCRatio
42,185,248,0.907815836,0.04254447,0.255453004,69.8383053,6.760536689,-52.0029219,18,8,24,99.3699878,15988,18,8,24,14,99.3699878,0,150,2,19,15,25,23,104.1932869,4.82329907,200,22,18,8,24,14,99.3699878,0,200,3
116,129,156,0.942167819,0.383654249,0.024625292,51.19229952,0.672543056,-32.70175542,17,9,21,86.52742085,15988,18,8,23,11,86.56312223,0.035701382,158,101,18,9,22,24,87.10390924,0.576488396,232,68,17,9,21,14,86.52742085,0,243,65
61,84,18,0.94156708,0.819994927,0.524681841,29.87448734,-20.54127856,14.81283004,10,11,24,80.59004049,15026,9,13,22,11,80.94667821,0.356637714,151,99,1,20,22,23,82.04054593,1.450505435,177,84,8,14,21,7,81.3099746,0.719934101,124,121
102,88,231,0.819725025,0.603555708,0.328478348,49.07495801,63.57564496,-87.80179654,6,34,3,59.71146117,15005,8,30,6,17,62.69249163,2.981030464,261,57,16,29,16,27,96.59192324,36.88046207,255,58,15,24,17,6,91.79440394,32.08294277,117,128
99,185,246,0.296697452,0.38279263,0.547050784,75.46065871,3.622912854,-42.30920912,9,29,14,1.747609226,14966,8,30,13,13,1.75142436,0.003815134,196,76,7,32,11,27,2.946975832,1.199366607,262,57,10,28,14,11,3.955627927,2.208018701,188,79
222,118,114,0.835211706,0.272792906,0.069367023,57.26492513,33.84924538,2.965965828,17,8,23,48.54415993,15041,17,8,23,13,48.54415993,0,169,89,17,9,25,25,49.40989802,0.865738092,211,71,17,10,24,11,49.48988412,0.945724187,189,79
238,72,136,0.483429802,0.859729379,0.60287607,52.86182832,64.41736203,-22.14097114,12,39,10,86.11035547,14954,12,39,10,10,86.11035547,0,131,114,18,24,19,26,120.356141,34.24578555,220,67,16,29,16,10,103.0598919,16.94953648,155,96
101,188,190,0.46997508,0.789073922,0.734581887,74.10333441,-22.97270247,-28.78059319,9,35,11,22.70054627,14891,9,35,11,18,22.70054627,0,188,79,8,36,8,28,23.62880637,0.928260101,240,62,9,35,11,18,22.70054627,0,295,50
3,48,146,0.41855046,0.76158916,0.440924393,24.85875554,37.67963611,-66.78039958,12,38,10,95.8358011,14872,12,38,10,12,95.8358011,0,143,104,17,26,18,28,127.5457604,31.70995926,245,60,12,33,12,14,103.3417702,7.505969109,223,66
107,106,123,0.921702346,0.302820666,0.793765433,45.39357026,0.595414975,-24.03127712,18,7,31,77.95329297,14892,18,8,29,13,78.01156159,0.058268617,146,102,19,14,28,26,84.61629511,6.663002131,220,67,18,8,29,13,78.01156159,0.058268617,207,71
153,220,47,0.795438334,0.741285995,0.660241408,78.94613092,-66.4058575,70.15771511,17,3,38,52.27153904,14850,0,20,22,21,103.8195707,51.54803168,72,206,0,20,22,21,103.8195707,51.54803168,132,112,18,7,39,18,53.53061302,1.259073974,274,54
243,227,147,0.277002388,0.277137662,1.058344588,88.10078937,-20.47392591,33.284665,19,16,40,34.76836501,14850,19,16,40,20,34.76836501,0,172,86,19,16,41,26,34.81710604,0.048741029,199,74,19,16,40,20,34.76836501,0,294,50
216,229,153,0.350642022,0.656564397,0.521714353,89.3039206,-32.28837086,26.8106304,10,36,33,2.663543429,14897,11,33,33,11,3.200725712,0.537182283,161,92,10,36,34,24,2.694087387,0.030543958,218,68,13,30,30,12,7.287469058,4.623925629,194,76
32,156,232,0.218478,0.029955099,1.007014713,63.77035073,15.40466461,-62.46491254,13,8,30,3.23368163,14907,14,11,28,11,7.316130022,4.082448393,196,76,15,14,26,33,11.95416384,8.720482211,333,44,14,11,28,11,7.316130022,4.082448393,184,81
68,54,139,0.395012171,0.927187792,0.086030556,25.65351471,39.90607628,-62.5344821,12,39,10,127.5910143,14873,15,31,15,12,141.1078633,13.51684902,157,94,18,24,19,26,164.4704414,36.87942715,217,68,14,27,15,8,150.21465,22.62363572,141,105
117,212,107,0.089767472,0.178591598,0.224336494,79.79275977,-59.89693582,33.52297,14,14,37,2.044573203,14933,0,20,22,21,49.33441767,47.28984447,74,201,0,20,22,21,49.33441767,47.28984447,132,113,15,15,33,13,3.602511162,1.557937959,230,64
236,160,27,0.472841632,0.292476395,0.315704055,68.32903088,5.798917371,64.57412969,17,14,39,31.26970281,14900,14,7,36,12,33.70379412,2.434091309,151,98,19,16,41,26,37.49172607,6.222023266,200,74,17,14,38,17,31.89386096,0.624158153,290,51
194,225,251,0.853482297,0.781984068,0.6824847,90.73653493,-4.256130802,-15.9714915,14,13,19,19.62152685,14848,14,13,19,8,19.62152685,0,144,103,15,11,21,32,22.46685262,2.84532577,311,47,14,13,19,8,19.62152685,0,137,108
125,159,15,0.485082512,0.772028443,0.157821888,61.94648128,-44.72241604,51.4510425,5,30,15,30.16888781,14869,5,30,15,13,30.16888781,0,202,73,7,31,17,28,31.29445961,1.125571793,313,47,7,26,18,7,31.6106373,1.441749484,128,116
64,248,71,0.253732296,0.20456928,1.014356348,87.61117414,-83.94203308,63.19556079,18,7,39,72.54918907,14890,17,3,38,15,74.67262981,2.123440739,182,81,19,14,37,27,81.81915827,9.2699692,216,68,18,7,39,18,72.54918907,0,269,55
24,150,245,0.520115295,0.217311939,0.580737478,0,0,0,14,7,35,88.01803524,14912,13,8,34,11,88.17058455,0.152549309,150,99,14,6,36,28,88.11989894,0.101863698,236,63,14,10,33,12,89.15379566,1.135760415,205,72
77,120,252,0.087100851,0.007093772,0.313111242,54.10649043,51.48694663,-79.12674063,11,22,15,2.890570553,14893,11,22,15,8,2.890570553,0,178,83,8,18,15,28,16.75536111,13.86479055,288,51,11,22,15,8,2.890570553,0,136,109
102,5,199,0.22285627,0.181482419,0.042667106,34.6507721,76.60605117,-96.39682726,6,34,3,33.97525716,14875,11,34,11,10,52.03658268,18.06132552,132,112,9,36,8,25,41.30819061,7.332933455,212,70,11,33,11,14,51.7276956,17.75243844,229,64
38,106,104,0.369561714,0.308350309,0.375110011,40.08949262,-17.4645289,-17.75605636,10,11,24,44.2312305,14873,11,14,22,12,44.63481596,0.403585459,171,86,8,14,22,24,46.30252419,2.071293683,234,63,10,14,23,8,44.91084046,0.679609958,139,107
71,122,218,0.380345802,0.889867321,0.085366212,52.97684471,30.66632416,-77.72762849,12,39,10,113.4243619,14906,13,36,12,16,116.5430978,3.118735875,209,71,18,24,19,26,152.1250194,38.70065751,217,68,14,26,15,8,138.0759356,24.65157373,142,104
154,223,32,0.429084094,0.906796337,0.551017373,83.9709759,-65.68632145,78.76529444,15,24,38,36.27156639,14910,0,20,22,21,57.255538,20.98397162,72,207,0,20,22,21,57.255538,20.98397162,134,111,9,21,24,3,56.80121838,20.52965199,55,271
247,133,53,0.61528531,0.471141642,0.237387188,61.86075037,29.96115739,51.71471431,8,13,31,21.19659009,14886,0,20,22,21,25.49455799,4.297967894,71,209,0,20,22,21,25.49455799,4.297967894,134,111,6,18,25,6,24.70667411,3.510084019,107,139
9,198,191,0.237257656,0.414338896,0.078144027,74.74286041,-31.94159935,-27.64544929,9,22,11,7.558151398,14945,11,19,13,13,9.417528742,1.859377343,200,74,17,19,21,28,38.11084441,30.55269301,265,56,14,21,18,5,25.31768267,17.75953127,93,160
121,68,24,0.555553349,0.522859323,0.511966558,32.56872199,8.63276358,16.78495222,1,21,20,47.37682642,15097,0,20,22,21,47.55536834,0.178541914,78,193,0,20,22,21,47.55536834,0.178541914,135,111,4,21,25,7,48.0105232,0.633696779,126,119
1,148,183,0.216133558,0.005459661,0.711599834,57.76553537,-5.986099349,-44.16671104,15,8,27,22.53183937,15275,15,8,28,12,22.68569233,0.153852953,170,89,16,8,26,32,24.56326871,2.031429335,310,49,15,8,29,14,22.57969473,0.047855355,236,64
133,35,88,0.834233356,0.509340538,0.993225397,27.01778532,36.90097526,-26.46417881,9,11,27,61.83722227,15322,9,10,31,15,61.84270334,0.005481067,200,76,8,11,28,28,62.19802786,0.360805592,261,58,9,13,29,8,62.0262147,0.188992432,138,111
154,180,3,0.341494206,0.516461016,0.740758707,66.49699609,-39.8608069,63.65145806,18,18,40,52.91397543,15155,0,20,22,21,79.77796624,26.86399081,75,202,0,20,22,21,79.77796624,26.86399081,133,113,8,21,25,4,78.06193223,25.14795679,72,210
125,140,222,0.769489162,0.718200502,0.318713376,62.76845826,25.50652951,-64.19231334,6,34,3,45.97600226,15075,10,23,10,15,50.84346933,4.867467069,217,69,17,25,21,30,82.84075582,36.86475356,276,54,14,24,16,8,66.47716595,20.50116369,142,106
142,242,230,0.855326317,0.120639168,1.001444651,91.45328955,-31.30922741,-14.73570767,18,7,34,93.94747245,15321,18,7,34,14,93.94747245,0,158,96,19,14,36,25,104.1029387,10.15546628,203,75,18,7,34,14,93.94747245,0,227,67
215,5,248,0.659775992,0.547523699,0.767519865,0,0,0,7,11,30,87.03496303,15098,0,20,21,8,87.35365597,0.318692944,96,157,1,20,22,22,87.50319305,0.468230025,163,92,4,18,25,8,87.37279842,0.337835396,139,108
134,80,144,0.113945813,0.085757623,0.483922039,39.43693818,34.95766924,-42.8382632,8,28,32,8.425459556,15281,0,20,22,21,21.34873093,12.92327138,76,201,0,20,22,21,21.34873093,12.92327138,133,114,8,23,24,4,17.4832773,9.057817749,77,198
253,252,169,0.630454369,0.126485673,0.838111311,0,0,0,17,4,39,99.13286491,15195,17,4,39,14,99.13286491,0,181,83,19,14,36,25,108.8379195,9.705054594,198,76,17,7,35,14,100.5010317,1.368166751,232,65
240,238,65,0.22653838,0.318815481,0.463981873,89.4093863,-39.37024317,82.86735216,19,16,40,37.57284789,15873,0,20,22,21,99.9822539,62.40940601,79,200,0,20,22,21,99.9822539,62.40940601,135,117,19,16,40,20,37.57284789,0,321,49
55,240,25,0.176136261,0.458473455,0.776640771,87.674142,-85.40068772,78.13993707,19,14,41,50.40860462,15018,0,20,22,7,103.6899544,53.28134982,72,208,6,32,22,24,103.5308526,53.12224793,232,64,19,14,41,20,50.40860462,0,302,49
75,158,113,0.716906828,0.718072082,0.557009862,57.61222603,-38.22287901,6.011289978,13,11,25,51.88745668,14990,13,11,25,13,51.88745668,0,174,86,8,14,22,25,54.11039921,2.222942528,232,64,9,19,23,2,55.71457219,3.827115513,41,365
8,143,5,0.084147083,0.331287028,0.028143816,52.90568937,-52.34636303,46.82609515,9,32,24,18.73926127,15055,10,30,25,9,20.28224127,1.542980005,138,109,9,32,25,26,19.44562352,0.706362257,281,53,11,27,26,9,23.17680904,4.437547768,156,96
201,121,119,0.778150838,0.265711555,1.007491886,51.5932519,22.63262785,-1.448184957,16,4,37,48.24394734,14986,17,5,38,12,48.83327829,0.589330949,167,89,19,14,36,25,57.21830405,8.974356707,198,75,17,6,37,16,48.85774873,0.613801391,260,57
111,208,55,0.360821966,0.621655102,0.218194574,74.41945544,-67.39787888,59.10817095,3,22,27,11.85734707,15142,0,20,22,21,12.33040301,0.473055949,77,196,0,20,22,21,12.33040301,0.473055949,139,108,6,18,26,5,13.84161147,1.984264401,102,148
153,23,238,0.138638289,0.487212876,0.493463448,42.83097108,88.72125619,-98.56729124,12,39,10,116.7943107,15228,14,34,13,11,125.1813853,8.387074577,143,106,18,24,19,25,166.8683589,50.07404814,206,73,16,29,16,10,143.7517047,26.95739394,153,99
84,231,56,0.743572867,0.615738716,0.461742273,81.0629457,-77.57498183,63.55273726,17,3,39,59.28004416,14892,19,14,36,25,73.60865143,14.32860727,148,100,19,14,36,25,73.60865143,14.32860727,195,76,18,7,37,16,60.2912854,1.01124124,248,60
247,127,199,0.945370946,0.323150839,0.759481883,64.89504663,51.75107407,-39.27473776,17,9,22,39.78047582,14872,17,9,22,12,39.78047582,0,154,96,17,9,22,12,39.78047582,0,201,73,17,9,22,12,39.78047582,0,199,74
218,90,234,0.406570363,0.053695555,0.188336887,57.57860437,73.16355662,-73.1403373,14,15,16,23.07840816,14877,14,15,16,8,23.07840816,0,145,102,14,16,15,30,24.94171787,1.863309716,297,50,14,15,16,8,23.07840816,0,137,108
227,194,219,0.530655764,0.398898623,0.384227204,84.27719147,11.0253995,-27.10829057,14,13,19,10.53482417,14863,14,13,19,9,10.53482417,0,175,84,16,12,18,29,15.50667709,4.971852927,285,52,14,13,19,9,10.53482417,0,149,99
203,69,168,0.670648678,0.28818916,0.867484487,49.0872421,61.71715039,-48.00364062,11,11,24,31.43709112,14878,12,12,22,26,31.6337438,0.196652671,135,110,12,12,22,26,31.6337438,0.196652671,262,56,12,16,24,5,32.96473693,1.527645807,89,167
39,106,187,0.611906091,0.867288978,0.531972785,47.77122669,21.68142359,-67.78482968,8,37,3,69.13641026,14934,10,38,7,19,70.85034071,1.713930448,176,84,17,26,18,26,102.9250335,33.78862322,229,65,10,38,7,19,70.85034071,1.713930448,299,49
122,59,192,0.557768343,0.280354916,0.518373956,35.82012287,59.07357307,-78.07274763,11,19,12,46.22994881,14865,11,18,13,10,46.46964492,0.239696113,141,105,8,20,13,24,49.10692718,2.876978375,216,68,11,18,13,10,46.46964492,0.239696113,163,91
182,220,25,0.444914489,0.706954142,0.470235563,83.51335863,-54.57709009,86.02991531,17,17,39,37.64948903,14855,0,20,22,21,59.6580772,22.00858818,71,209,0,20,22,21,59.6580772,22.00858818,131,113,8,21,27,7,58.55213596,20.90264693,124,119
215,11,33,0.480871092,0.730694143,0.107767691,39.23303036,53.38697101,30.5359906,12,37,15,79.36774749,14877,12,36,18,12,79.45805107,0.09030357,168,88,11,38,17,30,80.75960816,1.39186066,294,50,14,29,20,10,91.69058587,12.32283837,171,87
227,184,185,0.645557835,0.234753342,0.534859601,75.82925584,7.9962867,-14.2234854,18,8,27,31.03860371,14849,17,7,26,14,31.75968372,0.721080011,169,87,19,15,28,25,40.08728841,9.0486847,205,72,18,8,27,14,31.03860371,0,221,67
206,71,155,0.264278457,0.162070682,0.140257505,48.65450948,60.08499687,-41.73539897,5,25,10,4.701757666,14971,6,27,11,14,5.361290817,0.659533151,192,77,3,26,12,26,21.52977443,16.82801676,230,65,7,26,12,12,7.199289602,2.497531937,203,73
111,149,24,0.095388501,0.434079298,0.709253987,55.67493419,-43.16106847,51.76650098,14,27,37,59.64185424,14875,12,32,36,11,62.2725445,2.630690258,131,113,19,20,22,21,89.45118044,29.8093262,147,101,15,25,36,16,59.67479292,0.032938677,223,66
221,226,69,0.335013956,0.707831966,0.66109451,89.51464138,-40.79360258,74.78897703,17,20,39,45.61794832,14857,13,29,36,11,50.47215149,4.854203175,136,109,19,20,22,21,81.90557445,36.28762613,146,101,14,26,29,8,61.12352385,15.50557553,138,107
46,192,25,0.577971155,0.094202738,0.272032155,69.95113922,-72.33495352,65.87998652,18,7,38,102.7968524,14858,17,3,38,13,104.5272872,1.730434747,160,92,19,14,36,25,115.3609822,12.56412974,196,75,18,7,38,17,102.7968524,0,258,57
251,215,175,0.800953483,0.019217298,0.222539046,87.78294444,-6.012969427,11.2653015,18,7,32,81.71067699,14873,18,7,32,14,81.71067699,0,150,99,19,14,29,26,90.85809877,9.147421783,215,69,18,7,32,14,81.71067699,0,222,66
99,139,121,0.036934923,0.202812695,0.487343929,51.01319624,-20.33380072,-6.953812067,10,34,33,16.207486,14817,11,31,35,14,16.90310588,0.69561988,180,82,13,28,32,28,21.63648823,5.429002235,263,56,11,32,33,18,17.35797319,1.150487194,291,50
248,13,113,0.621194425,0.712326122,0.738311062,50.3047832,71.01759198,-12.33349125,12,39,10,63.19374026,14860,11,37,8,16,65.97346478,2.779724514,205,72,3,31,8,27,84.492361,21.29862073,221,67,9,21,21,2,92.42673765,29.23299738,42,353
132,9,247,0.205508016,0.863090688,0.982524551,40.88843297,89.04924428,-101.9164949,12,39,10,169.8759998,14877,15,31,15,12,180.7876475,10.91164771,146,101,19,21,22,22,216.9922258,47.11622606,152,97,16,29,16,10,185.9238442,16.04784442,153,97
203,156,211,0.795128314,0.10879013,0.169049,66.63056689,23.51385716,-44.0324014,18,8,23,65.15658017,14836,18,8,23,13,65.15658017,0,144,103,19,15,25,23,73.1416167,7.985036529,170,87,18,8,23,13,65.15658017,0,205,72
90,194,111,0.239101605,0.348978362,0.909583449,74.3079483,-55.35391618,20.54993574,17,14,39,29.43717063,14848,17,13,38,10,29.7987255,0.361554866,137,108,16,13,38,29,30.81150184,1.374331213,318,46,17,14,38,18,29.88434305,0.447172421,297,49
156,196,51,0.11223521,0.055582454,0.1302406,72.65090407,-47.81872429,63.18537619,16,7,37,14.12289976,14854,16,9,38,11,14.35381576,0.230916006,153,97,19,14,36,25,27.55722195,13.43432219,195,76,17,11,37,16,16.23852503,2.115625271,269,55
65,144,176,0.627532261,0.377827085,0.147406947,57.32787585,-5.411490017,-44.80025501,15,12,18,61.30660275,14837,16,11,20,12,61.89385017,0.58724742,147,100,17,10,22,25,67.05801378,5.751411035,210,70,15,15,17,6,64.72100416,3.414401412,108,137
223,96,36,0.702773997,0.498732272,0.634904653,50.83313045,39.70256736,45.7747394,14,22,36,51.02479824,14860,0,20,22,21,61.93450087,10.90970263,72,206,0,20,22,21,61.93450087,10.90970263,132,112,8,21,25,4,61.06088228,10.03608405,71,209
225,148,100,0.533408329,0.851655229,0.81343362,62.68030804,11.98902593,21.83277661,11,36,27,51.96995749,14846,11,36,27,14,51.96995749,0,176,84,11,36,26,22,52.09658943,0.126631937,192,77,15,26,25,7,65.65082268,13.68086519,122,121
181,251,202,0.011662909,0.965171689,0.464789728,0,0,0,14,34,13,155.8323667,14871,16,29,16,10,163.0714261,7.239059457,149,99,19,21,22,22,185.0052955,29.17292886,153,97,16,29,16,10,163.0714261,7.239059457,151,98
197,54,96,0.754855989,0.988433503,0.870247788,42.13886725,54.86130636,-12.20578065,12,39,10,78.02801399,14870,11,39,9,14,80.64186579,2.613851797,162,91,3,30,8,28,100.6562917,22.62827774,234,63,14,29,15,10,91.20941626,13.18140227,175,84
99,244,158,0.460607119,0.732357639,0.282082841,92.46882863,-65.72544649,19.89944392,12,13,20,11.8929777,14839,12,13,20,9,11.8929777,0,134,110,12,13,19,26,13.28394285,1.390965155,265,55,11,15,19,6,13.43610231,1.543124617,110,134
39,188,77,0.77902668,0.859098498,0.208990107,70.05313968,-65.74101362,38.21570092,16,8,25,55.18827152,14918,15,9,24,12,55.95166344,0.763391913,182,81,12,12,22,23,59.37746514,4.189193619,230,64,16,8,25,14,55.18827152,0,227,65
221,215,59,0.147722177,0.605998144,0.692606518,82.57457245,-32.53082831,73.35207711,15,25,36,70.80587401,14905,13,29,37,12,72.43645457,1.630580555,166,89,19,20,22,21,95.24704807,24.44117405,146,102,15,26,30,9,77.19465869,6.388784676,136,109
47,197,230,0.249526432,0.868771058,0.922674303,74.95090021,-14.47516762,-43.18810308,12,39,10,45.16445288,14909,15,31,15,12,55.94907991,10.78462704,151,98,19,21,22,22,91.29296178,46.1285089,153,97,16,29,16,10,61.23210515,16.06765227,153,97
189,202,157,0.188755865,0.951239859,0.712876874,77.8070529,-24.23535842,6.911776138,14,34,13,61.48758319,16276,16,29,16,10,67.63864945,6.151066264,147,110,19,21,22,22,90.19989642,28.71231323,163,99,16,29,16,10,67.63864945,6.151066264,167,97
118,2,47,0.539725568,0.070995345,0.552481635,22.87881171,23.08410048,-3.02634693,15,4,37,65.01232389,15610,16,5,33,12,65.71970177,0.707377878,164,95,19,14,30,24,77.97135117,12.95902728,193,80,16,7,35,14,65.9439748,0.93165091,246,63
48,114,110,0.194359879,0.284343325,0.567089105,40.08949262,-17.4645289,-17.75605636,6,30,28,24.88358001,15969,0,20,22,21,28.36275192,3.479171905,85,187,0,20,22,21,28.36275192,3.479171905,146,109,7,23,25,4,27.8267167,2.943136687,82,194
119,184,115,0.013044554,0.224175286,0.686958357,67.97268091,-45.54129975,15.06540154,16,22,39,24.52902516,16208,15,24,38,13,24.92590678,0.39688162,192,84,19,18,30,24,42.50018035,17.97115518,189,85,16,23,35,16,26.21463995,1.685614788,245,66
52,36,86,0.558217142,0.422430954,0.963043035,19.45357439,16.10732209,-35.50346675,7,11,30,58.54925626,15125,1,21,21,8,59.29598501,0.746728743,107,141,1,20,22,22,59.07257776,0.5233215,161,93,5,18,24,6,59.30238895,0.75313269,111,136
240,246,27,0.577913389,0.570697748,0.2839086,94.67246823,-43.68570451,98.82311914,18,8,39,26.12268429,15019,0,20,22,21,82.15105169,56.0283674,75,200,0,20,22,21,82.15105169,56.0283674,134,112,18,8,39,20,26.12268429,0,328,45
68,230,114,0.227679782,0.907767001,0.735835991,80.97450309,-68.70619143,31.80308003,11,36,27,36.7523947,14980,13,29,37,11,43.52355867,6.771163969,144,104,19,21,22,22,55.21198302,18.45958832,154,97,16,26,23,7,48.22245486,11.47006016,119,125
48,144,184,0.731594493,0.027805262,0.484583347,57.57860437,0.916126448,-52.86512483,18,8,24,85.23273305,14942,18,8,24,14,85.23273305,0,182,82,19,15,26,25,93.3690775,8.136344446,201,74,18,8,24,14,85.23273305,0,223,67
169,173,20,0.513748091,0.409755344,0.478127431,65.96995497,-34.56161673,65.38888666,16,4,37,43.49672208,15481,16,4,37,15,43.49672208,0,209,74,19,14,41,26,48.80643775,5.309715663,217,71,17,7,39,19,43.55924757,0.062525484,334,46
252,83,49,0.007518187,0.048922068,0.432938499,51.68991129,55.4964358,34.43127583,13,29,37,61.78250973,15339,12,32,35,10,61.89947443,0.1169647,129,118,19,21,22,22,100.9783755,39.19586578,156,98,15,26,30,9,72.41489777,10.63238804,145,105
193,47,83,0.041733762,0.83001916,0.724148676,36.77133698,52.11425687,-8.175183083,14,34,13,152.9039952,14991,15,31,15,12,158.7983123,5.894317076,155,96,19,21,22,22,186.1422145,33.23821927,154,97,16,29,16,10,161.0951873,8.191192064,156,96
119,1,192,0.684048414,0.584268599,0.224344269,32.53561447,75.22287212,-92.55583582,6,34,2,78.45348103,15484,9,36,7,17,81.90226908,3.448788048,266,58,16,29,16,27,116.1228396,37.66935855,267,57,14,28,16,10,104.7952344,26.34175336,186,83
176,65,50,0.639845311,0.750191239,0.004324776,36.02277346,36.61469856,14.20440813,10,37,11,62.7871262,16211,11,36,13,14,63.21469604,0.427569845,228,71,10,37,11,27,62.7871262,0,267,60,11,33,13,14,65.06554775,2.278421551,258,62
99,139,179,0.638698068,0.931732132,0.277768469,57.08516298,1.321957097,-45.97141148,7,35,2,56.60408724,16290,15,30,17,9,76.8401189,20.23603166,129,126,17,26,18,28,89.83263358,33.22854633,268,60,11,33,10,15,62.4401377,5.836050459,279,58
87,45,0,0.649509282,0.109711551,0.730013494,20.88515802,5.520400308,5.781163529,17,3,39,79.37848783,16306,17,3,39,12,79.37848783,0,169,96,19,14,36,25,89.17689176,9.798403935,214,76,18,7,37,16,81.04273816,1.664250328,271,60
42,194,217,0.933243091,0.701918418,0.634988959,74.65431222,-19.22842971,-42.03552189,17,10,21,59.82198928,16274,17,10,21,13,59.82198928,0,184,88,17,10,22,26,61.46602051,1.644031228,243,66,15,12,18,9,61.4527201,1.630730815,168,96
49,108,51,0.568487389,0.384891533,0.55338564,40.88039333,-36.7398147,15.84848316,15,4,37,63.56797251,16203,15,5,35,13,63.62236786,0.054395351,197,82,15,6,36,27,63.60554701,0.037574499,258,62,15,7,35,14,64.0861877,0.518215195,257,63
173,149,111,0.583111672,0.399297962,0.867255215,59.13596008,-6.905545951,6.944947292,14,6,36,36.16593264,16279,14,6,36,17,36.16593264,0,204,79,15,6,37,27,37.10023923,0.934306596,252,64,14,6,36,17,36.16593264,0,300,54
238,14,26,0.231381172,0.640223637,0.728421056,44.24726934,59.69507344,44.66573191,14,34,13,123.7181483,15696,12,32,33,11,129.7520649,6.033916619,148,106,19,21,22,22,146.9235059,23.2053576,155,101,16,26,23,7,137.4951276,13.77697934,121,129
113,217,145,0.480646086,0.979003003,0.688889329,80.17959437,-53.61743061,13.28364534,10,35,19,24.52688191,14997,10,35,19,19,24.52688191,0,205,73,10,35,21,26,24.76155194,0.234670023,295,50,10,35,19,19,24.52688191,0,331,45
39,125,207,0.874142996,0.706422915,1.058253181,52.78493676,20.60042012,-70.04134814,10,21,11,51.71470897,14948,11,19,13,12,52.61311175,0.898402781,166,90,3,23,14,27,60.4361325,8.721423529,234,63,11,18,13,10,52.54208624,0.827377277,164,91
241,99,204,0.892112782,0.758259622,0.577683455,60.5159465,67.65162936,-49.35305396,6,34,2,35.82211793,14910,8,35,4,14,37.02213997,1.200022041,196,76,3,27,12,25,70.41503462,34.59291669,219,68,11,33,10,14,42.25088614,6.428768213,233,63
213,211,89,0.016682148,0.817207483,1.084295077,83.06474945,-34.50132043,56.64849652,20,20,21,106.0377024,14895,13,30,32,11,126.117187,20.07948455,137,108,19,21,22,22,114.2582613,8.220558876,154,96,16,26,23,9,119.3070758,13.26937341,142,104
145,12,25,0.189725801,0.766145354,0.309858501,23.88517536,34.68295093,15.17447393,12,39,10,114.0090949,14874,15,31,15,11,120.5863914,6.577296429,136,109,19,21,22,22,149.5462933,35.53719837,152,97,16,29,16,10,124.077125,10.06803005,150,99
67,1,163,0.342487341,0.110124213,0.910569506,26.43350325,62.16005053,-82.94014504,8,10,31,31.91097395,14855,9,14,27,12,32.48831116,0.577337211,183,81,10,13,22,21,33.82317834,1.912204391,200,74,10,19,23,2,35.1802169,3.269242949,41,362
197,223,255,0.719907998,0.929218341,0.744101105,90.70455668,0.756490429,-16.02662641,9,37,11,12.04741308,15014,9,37,11,12,12.04741308,0,170,88,13,30,16,31,17.2939601,5.246547013,329,45,10,36,13,18,12.24244732,0.195034241,302,49
160,74,172,0.580792794,0.43687014,0.261294318,44.88552944,50.78740122,-55.84678303,5,34,3,35.24060123,14900,9,25,8,13,37.4408498,2.200248574,183,81,12,25,13,32,45.19814553,9.957544304,330,45,11,27,11,14,42.96229753,7.721696303,237,62
230,18,83,0.588736958,0.629668632,0.948010153,44.99061341,61.65071263,6.76158453,11,35,33,60.87383169,15263,0,20,22,21,79.21608526,18.34225357,80,190,0,20,22,21,79.21608526,18.34225357,146,104,12,33,28,15,62.80179344,1.927961755,272,56
39,45,160,0.377281854,0.83366403,0.574491869,29.94853829,47.37349821,-76.55744431,12,39,10,112.0057424,15568,14,34,13,11,118.7494862,6.743743714,152,102,18,24,19,26,151.0639322,39.05818976,221,70,14,27,15,8,136.4341288,24.42838638,148,105
21,218,114,0.119041171,0.399319187,1.019720583,81.08779117,-68.38783097,29.63502553,18,18,40,33.14522856,15663,18,18,40,19,33.14522856,0,172,91,19,16,41,26,33.5223393,0.377110737,205,76,18,18,40,19,33.14522856,0,289,54
214,153,136,0.071287092,0.748304258,0.380003877,63.72944705,12.44534571,-2.446859754,14,34,13,87.28216697,14934,15,31,15,12,93.72857948,6.446412512,151,98,19,21,22,22,124.9014951,37.61932817,155,96,16,29,16,10,96.88856242,9.606395453,152,98
206,209,107,0.29614831,0.919140892,0.960482115,83.30275329,-33.12305605,40.10685631,11,36,27,61.97106554,14923,12,32,35,12,63.16264571,1.191580172,149,100,19,21,22,22,76.25952223,14.28845669,154,96,15,25,24,6,75.60840722,13.63734168,108,138
91,157,179,0.53035392,0.314416456,0.857490247,62.80617661,-11.03039319,-33.33893647,15,8,27,37.254132,14849,15,8,27,14,37.254132,0,156,95,16,8,25,31,37.65328341,0.399151413,294,50,15,8,27,14,37.254132,0,235,63
208,246,175,0.096377981,0.686366342,0.278573286,96.58682253,-43.87070123,19.3082345,16,29,16,28.27385558,14874,15,31,15,10,30.11190539,1.838049806,120,123,19,21,22,22,47.20747479,18.93361921,154,96,16,29,16,10,28.27385558,0,153,97
