Type,Method,Bg_RRGGBB, Bg_L,Bg_a,Bg_b,Bg_TD_RRGGBB,Bg_TD_L,Bg_TD_a,Bg_TD_b,Bg_ND_RRGGBB,Bg_ND_L,Bg_ND_a,Bg_ND_b,Fg_L,Fg_a,Fg_b,CD_Fg_L,CD_Fg_a,CD_Fg_b,Com_Fg_L,Com_Fg_a,Com_Fg_b,GammutFlag,ComS_Fg_L,ComS_Fg_a,ComS_Fg_b,Measured_L,Measured_a,Measured_b
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,,15.26408965,16.43366418,-36.62239023,0x373fa6,31.33946152,32.58337179,-58.93719936,66.71873,37.67945,-42.60067,58.45236,7.32966,-2.93783,76.18053,-28.32432,42.57837,0.00000,50.62115,-5.69081,52.77276,28.90217,-11.06387,-13.80051
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,,15.26408965,16.43366418,-36.62239023,0x373fa6,31.33946152,32.58337179,-58.93719936,61.94411,-53.48605,37.29525,50.71060,-22.60356,14.60363,38.45051,-39.44299,43.91153,1.00000,40.44871,-66.47404,-16.90819,43.95921,-7.74536,1.33804
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,,15.26408965,16.43366418,-36.62239023,0x373fa6,31.33946152,32.58337179,-58.93719936,66.99396,8.76990,-32.79258,57.64582,-2.90112,-2.73226,23.69351,39.47208,1.85590,0.00000,49.60944,-20.47694,44.65377,39.79857,22.41716,-15.18490
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,,15.26408965,16.43366418,-36.62239023,0x373fa6,31.33946152,32.58337179,-58.93719936,66.93744,33.11907,-23.69776,58.98358,9.57492,2.00702,76.21079,-19.38658,56.93271,0.00000,51.28276,-2.42340,39.86284,61.50726,6.20640,9.04530
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,,15.26408965,16.43366418,-36.62239023,0x373fa6,31.33946152,32.58337179,-58.93719936,61.92858,57.02689,-33.34931,55.17519,18.20888,-1.14198,43.64582,-5.03293,23.18204,0.00000,46.45007,7.84663,23.18493,49.73779,5.68798,-5.59839
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,,15.26408965,16.43366418,-36.62239023,0x373fa6,31.33946152,32.58337179,-58.93719936,90.24171,-62.08849,42.19681,58.59289,-13.49850,11.76601,17.16884,37.03944,17.86430,0.00000,50.79653,-35.10904,18.33197,42.92852,42.25575,-4.48681
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,,15.26408965,16.43366418,-36.62239023,0x373fa6,31.33946152,32.58337179,-58.93719936,61.66338,66.86640,-19.66114,54.61620,26.00737,2.98604,66.57147,46.77350,37.27364,0.00000,45.72118,18.33261,12.51643,56.97786,24.93277,3.09386
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,,15.26408965,16.43366418,-36.62239023,0x373fa6,31.33946152,32.58337179,-58.93719936,67.20485,-52.68050,16.63291,53.00417,-33.87091,2.87050,85.31838,-82.22994,72.09958,1.00000,43.58581,-83.13568,4.84043,57.09490,-32.24387,2.00842
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,,15.26408965,16.43366418,-36.62239023,0x373fa6,31.33946152,32.58337179,-58.93719936,42.67696,41.64371,53.49011,43.33032,30.06921,40.63735,61.62471,56.58104,36.54578,0.00000,29.11687,22.95347,-53.61278,55.35958,28.83732,3.47433
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,,15.26408965,16.43366418,-36.62239023,0x373fa6,31.33946152,32.58337179,-58.93719936,38.27894,37.38821,22.31513,42.24642,23.86665,15.31734,38.47723,22.46379,46.09155,0.00000,27.19586,11.39385,-49.09095,46.65803,21.46006,6.60646
