Type,Method,Bg_RRGGBB, Bg_L,Bg_a,Bg_b,Bg_TD_RRGGBB,Bg_TD_L,Bg_TD_a,Bg_TD_b,Bg_ND_RRGGBB,Bg_ND_L,Bg_ND_a,Bg_ND_b,Fg_L,Fg_a,Fg_b,CD_Fg_L,CD_Fg_a,CD_Fg_b,Com_Fg_L,Com_Fg_a,Com_Fg_b,GammutFlag,ComS_Fg_L,ComS_Fg_a,ComS_Fg_b,Measured_L,Measured_a,Measured_b,,,,,,,
AD,ND,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,67.02599156,13.82662598,-4.836257304,59.82996947,11.78115373,-25.3248446,61.5416599,2.269749742,56.28082173,0,61.5416599,2.269749742,56.28082173,55.63439979,10.18223869,-3.144497138,,,,,,,
AD,ND,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,85.76713852,-33.88802805,67.11293411,83.71261135,-58.36813365,68.56631924,82.23114979,-47.63156328,54.76650197,0,82.23114979,-47.63156328,54.76650197,78.01059715,-30.60819629,-5.142470061,,,,,,,
AD,ND,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,78.52114204,-31.04340544,-28.86109529,78.26306249,-10.2090792,-37.47747847,74.38461997,-47.40442699,-6.551417249,0,74.38461997,-47.40442699,-6.551417249,70.80882466,-3.640302806,-50.32961266,,,,,,,
AD,ND,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,85.53905815,-57.73808043,23.3962689,86.62522661,-63.78332451,15.54733154,81.98629202,-75.8825793,79.63950059,0,81.98629202,-75.8825793,79.63950059,76.83019851,-46.75824562,5.473151847,,,,,,,
AD,ND,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,81.07515857,13.5283451,47.36029509,75.07652316,3.400219013,41.97130816,77.16735758,5.270389093,59.04478347,0,77.16735758,5.270389093,59.04478347,70.67051673,9.909077181,8.446510138,,,,,,,
AD,ND,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,15.15374721,23.30345585,8.19425931,12.2540432,-1.143662894,-6.291283297,26.33080478,28.11115149,-65.96313991,0,26.33080478,28.11115149,-65.96313991,43.30074397,41.69661754,-83.15478112,,,,,,,
AD,ND,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,29.80017701,13.29178683,-27.75388783,21.79926503,16.33591987,-40.92744433,5.796246662,63.3962565,-78.43370553,1,5.796246662,63.3962565,-78.43370553,40.18030591,13.1320788,-51.62688335,,,,,,,
AD,ND,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,71.03374658,-64.28796572,69.26166401,69.98985754,-72.132395,66.73140544,66.08976301,-97.77713835,10.50799712,1,66.08976301,-97.77713835,10.50799712,65.47525634,-32.27834796,-13.66232576,,,,,,,
AD,ND,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,80.56884233,-44.76158984,-10.49501881,80.32000273,-34.29483397,-31.08645294,76.61729766,-62.97243522,19.28313161,0,76.61729766,-62.97243522,19.28313161,80.39285359,-51.48354785,6.03836291,,,,,,,
AD,ND,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,23.31469148,56.66976184,-62.41740989,22.63635402,52.04278722,-71.02059892,19.65366,-34.63114357,-21.42488093,1,19.65366,-34.63114357,-21.42488093,40.97671933,16.83059679,-52.24846634,,,,,,,
AD,ND,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,52.84086253,-19.222208,-4.855886621,45.78449159,-16.20728916,-19.36675193,44.38204178,-59.27015015,7.878269105,1,44.38204178,-59.27015015,7.878269105,47.84151568,-6.419762607,-30.28260549,,,,,,,
AD,ND,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,73.01109793,-64.73684413,38.55599783,72.47843751,-68.61745272,41.37726697,68.30313071,-95.64591219,37.35580543,1,68.30313071,-95.64591219,37.35580543,66.62675657,-40.81643315,0.800045578,,,,,,,
AD,ND,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,57.35714853,28.40130298,9.07057418,46.45193709,25.13288995,-9.318962897,50.08939633,17.59035583,8.921295147,0,50.08939633,17.59035583,8.921295147,48.54853873,43.84019838,-73.1974719,,,,,,,
AD,ND,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,71.38846928,-63.36752685,57.40636087,70.65319718,-70.50839943,59.71059845,66.48819027,-95.90648003,16.95399244,1,66.48819027,-95.90648003,16.95399244,64.75566826,-26.35660189,-23.52470712,,,,,,,
AD,ND,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,76.24945091,-18.96001997,28.36707999,72.3619746,-35.74721463,22.11123888,71.8913237,-33.89053404,69.85199176,0,71.8913237,-33.89053404,69.85199176,65.38109243,-28.88306505,7.616686652,,,,,,,
AD,ND,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,52.63956448,8.913824205,47.64170853,42.61975408,0.206447126,34.58196742,44.12002324,-12.19206058,-30.66604433,0,44.12002324,-12.19206058,-30.66604433,44.56098859,27.21249132,-59.49070335,,,,,,,
AD,ND,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,38.91169358,-14.45092413,-4.566133129,31.49758221,-11.91926721,-11.49592856,23.03656602,-36.75815307,-54.32753041,1,23.03656602,-36.75815307,-54.32753041,36.29054245,28.74955409,-63.6087847,,,,,,,
AD,ND,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,90.42248513,-28.64096147,57.14512837,89.40704491,-53.34438265,62.40860203,87.203765,-40.10994531,86.67247761,0,87.203765,-40.10994531,86.67247761,87.81916128,-44.88432296,45.74895346,,,,,,,
AD,ND,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,85.78282126,9.658137552,-4.754727435,83.7439996,4.63034464,-28.0275869,82.2479816,1.751199652,23.91768496,0,82.2479816,1.751199652,23.91768496,75.77986866,4.532760308,-3.895640688,,,,,,,
AD,ND,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,80.87299974,-24.77055038,-28.58457025,81.11814059,-7.811004862,-32.55493002,76.94782432,-38.86391007,-7.340489169,0,76.94782432,-38.86391007,-7.340489169,72.29528629,-9.760302132,-47.49083462,,,,,,,
AD,ND,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,73.16197863,-51.91160296,8.930905584,71.70065326,-46.85115809,-0.392654399,68.47128365,-77.75324499,81.90223933,1,68.47128365,-77.75324499,81.90223933,65.39680155,-46.47294828,10.58785062,,,,,,,
AD,ND,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,57.40933307,28.17343854,13.69887294,46.51856675,23.26834579,-2.280348059,50.15367248,17.30949922,3.838183577,0,50.15367248,17.30949922,3.838183577,47.94347874,40.19918538,-49.03516856,,,,,,,
AD,ND,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,71.48054432,28.4383461,-9.917338602,65.50267986,29.40664794,-33.06637392,66.59150925,20.64606638,31.15514882,0,66.59150925,20.64606638,31.15514882,58.72357508,26.5188787,-17.86815128,,,,,,,
AD,ND,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,85.89332611,9.304369696,-9.540843249,84.25390189,6.537575347,-27.14844502,82.36656678,1.37629845,16.65907054,0,82.36656678,1.37629845,16.65907054,77.59668262,1.330268445,-11.85627669,,,,,,,
AD,ND,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,62.31368015,-9.36080677,-4.835020767,56.28250552,-11.62898227,-20.15707788,56.06189681,-29.97837143,88.64063397,1,56.06189681,-29.97837143,88.64063397,54.65791245,-14.99561625,-10.14428796,,,,,,,
AD,ND,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,67.02599156,13.82662598,-4.836257304,59.82996947,11.78115373,-25.3248446,61.5416599,2.269749742,56.28082173,0,61.5416599,2.269749742,56.28082173,55.63439979,10.18223869,-3.144497138,,,,,,,
