BinL,BinA,BinB,MeasuredL,MeasuredA,MeasuredB,MeasuredX,MeasuredY,MeasuredZ,R,G,B,OldR,OldG,OldB,Empty
35,55,-95,40.58131511,82.80647298,-102.4460084,0.2651,0.11605,1.0888,0,47,237,0,60,240,
25,10,-45,25.87722209,26.6599118,-53.4030894,0.0676,0.04705,0.2697,0,49,116,0,61,127,
30,35,-70,31.33559163,55.55555421,-86.11432789,0.133,0.06795,0.6422,0,43,166,0,61,181,
25,5,-35,23.67144196,20.388449,-44.54756061,0.0533,0.04,0.1961,0,46,97,0,62,112,
25,5,-40,24.796328,22.13248784,-46.59356017,0.059,0.0435,0.2176,0,53,111,0,63,119,
30,30,-65,31.14909143,49.47744617,-79.91761596,0.1227,0.06715,0.5702,0,46,157,0,63,173,
35,50,-90,38.65566936,77.99732548,-105.7660873,0.23445,0.1046,1.0888,0,50,226,0,63,231,
25,0,-30,25.5633553,10.5430857,-36.85172157,0.0519,0.046,0.1739,0,48,87,0,64,104,
25,0,-35,25.63851524,18.3904548,-40.06073446,0.0589,0.04625,0.19045,0,55,103,0,65,112,
30,25,-60,29.13323057,47.26822318,-75.59076779,0.1075,0.0589,0.49135,0,48,151,0,65,164,
25,-5,-25,24.08045473,10.11350983,-31.07911978,0.0465,0.04125,0.13685,0,49,81,0,66,97,
25,-5,-30,25.16806902,10.95892404,-34.94481832,0.05085,0.0447,0.16175,0,59,98,0,66,104,
30,25,-65,32.05602625,45.25893404,-78.0754426,0.12225,0.0711,0.56725,0,59,171,0,66,173,
35,45,-85,37.76154537,72.66819439,-107.2586848,0.21445,0.09955,1.088,0,52,214,0,66,222,
100,-5,30,22.86159346,-15.13014804,3.745488717,0.0269,0.0376,0.03445,255,250,187,0,67,8,
25,-10,-20,24.49715466,0.517135632,-22.3997548,0.0408,0.04255,0.10675,0,51,72,0,67,90,
25,-15,-15,24.38581079,-4.007808053,-16.70994436,0.0374,0.0422,0.0876,0,53,65,0,68,82,
30,20,-55,30.04690314,37.29473033,-67.53794051,0.09965,0.06255,0.4317,0,51,141,0,68,156,
25,-20,-5,23.91785475,-8.365575522,-10.40985708,0.03335,0.04075,0.0677,0,53,49,0,69,68,
30,20,-60,30.02235133,42.75910107,-73.81806192,0.1066,0.06245,0.48905,0,60,160,0,69,164,
35,40,-80,36.83664811,67.96334526,-102.4772146,0.1966,0.0945,0.9872,0,54,203,0,69,213,
25,-25,5,24.2095912,-11.02575037,-5.205545901,0.0325,0.04165,0.05635,0,54,37,0,70,54,
25,-25,0,24.796328,-12.64441435,-3.638692383,0.03305,0.0435,0.0551,0,58,46,0,70,61,
25,-20,-10,24.54468658,-9.849429683,-11.40064521,0.0341,0.0427,0.07315,0,62,66,0,70,75,
30,15,-50,29.67584025,31.52900133,-61.39729333,0.0906,0.06105,0.37465,0,53,134,0,70,148,
40,55,-95,44.10358344,87.21175112,-96.373132,0.3157,0.1391,1.0888,0,52,244,0,70,255,
25,-30,15,24.43360469,-8.968598198,1.002439818,0.03435,0.04235,0.04415,0,55,20,0,71,40,
25,-30,10,23.77037365,-15.54104741,1.972408851,0.0288,0.0403,0.0402,0,60,32,0,71,47,
30,15,-55,30.65237482,35.9010925,-66.93515325,0.1012,0.06505,0.4356,0,62,151,0,71,156,
25,-35,35,22.99891472,-15.43934674,11.39719406,0.02705,0.038,0.0237,0,62,0,0,72,0,
25,-35,30,22.15996683,-15.88059607,10.78789537,0.02495,0.0356,0.02265,0,58,0,0,72,15,
25,-35,25,22.86159346,-15.31920124,7.793876936,0.0268,0.0376,0.02825,0,62,11,0,72,25,
25,-35,20,23.06721418,-18.21955963,8.393932662,0.02575,0.0382,0.0279,0,67,22,0,72,33,
30,10,-45,27.92629755,28.91966391,-59.00149233,0.07905,0.0543,0.3329,0,55,125,0,72,140,
30,10,-50,29.31132296,33.31009156,-63.05931754,0.09085,0.0596,0.383,0,66,145,0,72,148,
100,-5,30,30.16927125,36.45139072,-67.79627802,0.09925,0.06305,0.43585,255,250,187,0,72,155,
35,35,-75,36.35705784,61.30231482,-96.17175726,0.1797,0.09195,0.88205,0,55,191,0,72,204,
30,5,-40,28.73380051,23.53581528,-54.24062277,0.077,0.05735,0.30855,0,57,116,0,73,132,
30,5,-45,28.95372151,26.67792951,-58.51297173,0.08145,0.0582,0.3425,0,67,135,0,74,140,
40,50,-90,42.7255525,81.50298179,-98.74904741,0.2849,0.12975,1.0888,0,56,236,0,74,246,
30,0,-35,27.60030188,16.38467312,-48.43693895,0.06485,0.0531,0.25705,0,59,107,0,75,124,
35,30,-70,35.27182425,56.37285055,-90.73552542,0.16225,0.08635,0.78235,0,58,182,0,75,195,
40,50,-95,44.31170497,86.02193195,-96.01430177,0.3149,0.14055,1.0888,0,65,254,0,75,255,
30,-5,-30,27.53176938,12.17041467,-41.9935967,0.06065,0.05285,0.21825,0,61,100,0,77,116,
35,25,-65,34.66091036,50.08937106,-85.95689347,0.1471,0.0833,0.7084,0,60,172,0,77,187,
40,45,-85,41.57150886,76.82469557,-100.7387778,0.26095,0.12225,1.0888,0,60,227,0,77,237,
30,-10,-25,27.54549315,9.101151216,-38.65935733,0.05795,0.0529,0.20025,0,64,94,0,78,109,
100,-5,30,28.08749642,13.28209191,-44.5995047,0.0639,0.0549,0.2388,255,250,187,0,78,121,
40,45,-90,43.05560469,80.66659226,-98.17999192,0.2864,0.13195,1.0888,0,68,244,0,78,246,
30,-15,-15,27.61398255,-0.079129411,-26.22810236,0.05045,0.05315,0.142,0,63,80,0,79,94,
35,20,-60,34.12824508,43.32292879,-78.90612867,0.1327,0.0807,0.6151,0,62,163,0,79,178,
30,-15,-20,28.77276725,1.172364173,-27.99344929,0.05565,0.0575,0.1584,0,68,88,0,80,101,
30,-20,-10,27.38023352,-6.77003939,-19.12535308,0.0445,0.0523,0.11275,0,65,68,0,81,86,
30,-20,-15,28.19431088,-1.041221642,-23.40949784,0.0517,0.0553,0.1345,0,76,87,0,81,94,
35,15,-55,33.48859709,40.00972927,-73.33714307,0.1236,0.07765,0.5436,0,65,155,0,81,170,
40,40,-85,42.56671136,73.07379371,-99.02291145,0.26225,0.1287,1.0888,0,69,231,0,81,237,
30,-25,0,27.79105563,-5.814936761,-18.41703909,0.04655,0.0538,0.11275,0,66,53,0,82,72,
30,-25,-5,27.08796128,-8.950281967,-14.07314781,0.042,0.05125,0.0939,0,72,66,0,82,79,
30,-30,10,26.66342174,-16.99098561,-2.550504634,0.03535,0.04975,0.06,0,67,38,0,83,57,
30,-30,5,27.00372263,-16.05319658,-6.33752673,0.0369,0.05095,0.07095,0,69,47,0,83,64,
