BinNo,Dsno,Distance
437,28409,2.930040379
438,27978,2.497812395
439,28277,2.769772482
440,28234,1.755180483
441,28233,1.516066254
442,28147,0.438849492
443,28191,1.895581107
444,28105,2.791796234
445,28103,2.472627661
446,28019,1.814964196
447,28017,2.443732259
448,28061,1.806181911
449,27978,3.357100033
450,27976,2.917456882
451,27975,1.71877409
452,27891,2.525078346
453,27935,2.441584929
454,27934,1.614778041
455,27892,2.262621868
456,29737,2.468347039
457,30300,3.021507966
458,30346,2.970361845
459,30210,2.228798553
460,30256,2.91339357
461,30121,1.334181722
462,30165,2.62293911
463,30077,2.406548122
464,30121,1.147383981
465,29990,1.580030493
466,30034,1.544947564
467,29903,2.151144195
468,29947,1.496519959
469,29861,1.16400883
470,29905,2.578228182
471,29820,2.955238613
472,29818,2.629455115
473,29817,2.929345071
474,29733,2.922152864
475,29733,3.518324081
476,29776,2.285919896
477,31538,2.62857358
478,29692,2.55669498
479,29691,3.285988955
480,29735,2.466721212
481,31538,2.204250394
482,32057,2.137248308
483,32012,2.202003792
484,32058,3.224779944
485,31967,3.031777339
486,31879,3.038038534
487,31835,2.15648742
488,31878,3.324592044
489,31792,2.854109739
490,31835,3.073278031
491,31704,2.610104915
492,31748,1.980390682
493,31662,2.389353276
494,33551,3.485416977
495,33421,2.951205214
496,33465,3.115993186
497,33464,3.064411032
498,33382,3.620647656
499,33380,2.341645638
500,33379,2.657286404
501,33423,2.968329105
502,33339,1.773685123
503,33340,2.045831701
504,33339,2.651459636
505,33338,2.935794324
506,35660,2.289548522
507,35570,2.647542508
508,35480,2.581283182
509,8606,2.838093564
510,16561,1.638640599
511,14625,3.402551089
512,10715,2.78889099
513,6894,2.174525758
514,6630,2.944288685
515,12557,3.106166682
516,11900,2.533083221
517,16070,3.100355019
518,15894,2.472597102
519,15763,3.21428514
520,15544,2.617055447
521,15372,1.767617802
522,15372,1.562240811
523,19626,2.166463198
524,17343,2.954524838
525,19015,2.874690729
526,18975,2.761072288
527,21517,3.049627661
528,21382,2.806388949
529,20815,3.077769575
530,22532,3.497934104
531,24852,1.606526449
532,24461,2.542968749
533,24334,1.668029468
534,26135,2.189036164
535,26217,3.129143353
536,27892,3.488423634
537,30345,2.466207465
538,30078,1.080422374
539,29948,2.524637336
540,29863,2.960722061
541,29735,1.301993156
542,31620,2.382387566
543,8561,2.482965601
544,12602,2.224518364
545,14625,2.253625473
546,6586,1.829810041
547,14535,1.532991806
548,12426,1.863669379
549,12250,2.515478105
550,12030,3.502718848
551,18228,2.025541303
552,11811,3.139762143
553,9966,3.291994287
554,16247,2.554806224
555,16158,2.035369408
556,13527,2.819036239
557,15500,3.017235423
558,15328,2.685977342
559,19850,2.132153627
560,19760,2.508084172
561,15456,1.98984049
562,19451,2.877760409
563,17475,3.246841434
564,18972,2.027109831
565,21206,2.292896587
566,20900,2.852695038
567,20772,2.958824219
568,24676,1.42277362
569,24545,1.962656839
570,24334,2.996706016
571,27934,2.776193131
572,29736,2.04545091
573,33338,2.562573198
574,8517,2.289330588
575,8561,3.467612947
576,6498,1.846485181
577,6543,2.469845516
578,10186,3.070413075
579,9925,2.208912436
580,11769,2.669712527
581,15675,2.044900896
582,15501,3.057566571
583,17300,2.426691134
584,18973,1.995577871
585,21075,2.34301626
586,25075,1.099267918
587,24940,1.127740166
588,24417,2.632386987
589,26564,2.774040592
590,26433,2.17819332
591,26347,2.544245519
592,26218,3.268918911
593,27935,2.838168083
594,30166,2.704310467
595,29949,2.389765871
596,29819,1.660099738
597,29737,1.538035519
598,31922,1.573100002
599,31791,1.784237839
600,31706,2.838092391
601,31576,3.238225868
602,33339,1.96347235
603,8473,1.597117679
604,10626,2.882882332
605,4698,2.621987717
606,8693,1.790083793
607,12558,1.74231508
608,12427,3.077033772
609,12250,3.238156132
610,10141,1.858353334
611,9925,2.104444608
612,15982,1.809115676
613,15806,2.51213331
614,17959,2.866572123
615,15631,2.829598788
616,13612,2.74198592
617,19583,2.882213871
618,17431,2.649016852
619,17256,2.313753027
620,17085,2.985858365
621,18974,2.882963363
622,21338,2.293246952
623,20901,2.703367079
624,20773,2.301902033
625,22533,2.008026497
626,24547,3.047935821
627,26652,3.278702819
628,26174,2.737186972
629,27892,2.936581948
630,27892,1.718929334
631,30035,2.202289441
632,29692,3.185532567
633,33340,2.872525881
634,35615,2.146501473
635,14535,2.107621896
636,12603,2.585706636
637,14580,2.95661533
638,4609,2.245966118
639,4565,3.108098653
640,4609,2.068701902
641,6321,3.238207712
642,12646,2.883364772
643,6456,2.329097119
644,10361,1.182120253
645,10098,1.545022111
646,16114,0.792460524
647,13742,3.258108816
648,13568,3.223232366
649,17562,2.602773862
650,18930,2.99697996
651,21472,2.650117155
652,21162,2.182483803
653,21032,1.923982845
654,20902,2.194584367
655,20729,2.074543287
656,24763,2.32760683
657,24632,3.293103351
658,24374,1.853390563
659,26787,3.767529117
660,26303,2.973830673
661,30255,1.349401916
662,29821,2.047623687
663,32012,2.25787588
664,31662,1.821109907
665,31578,2.926540807
666,8429,2.467630223
667,6542,2.180409761
668,12514,0.885038754
669,12338,1.617148651
670,8123,1.188572585
671,10053,2.315909399
672,16382,2.551289293
673,16246,2.064996702
674,14137,3.12888965
675,13961,3.095837391
676,13742,1.436344712
677,19985,2.864517237
678,13569,1.984975984
679,19804,2.246016904
680,19715,3.125736025
681,17387,1.637553048
682,17212,2.071996474
683,21607,3.031562266
684,20729,1.067952482
685,24895,2.666699578
686,24503,2.598141494
687,24375,2.686931018
688,26520,1.586176416
689,26217,2.90901798
690,26389,1.967425986
691,26130,3.15451324
692,27892,1.82619249
693,29905,2.430312125
694,31878,0.808941544
695,31534,3.502875021
696,8737,1.339714694
697,10449,2.252302146
698,10317,1.114142595
699,10054,2.74082298
700,13653,3.186790149
701,13482,2.355540629
702,13525,2.113531826
703,17694,2.764757845
704,17518,2.545947335
705,17213,1.555188153
706,21294,1.95582013
707,20987,2.351630291
708,20858,2.079608589
709,20686,2.413517379
710,24634,3.481613926
711,24331,1.923451286
712,26260,2.033293372
713,26132,2.920386839
714,30122,2.567765809
715,29991,2.77995771
716,29777,1.526859152
717,31538,2.682073673
718,31748,2.137061677
719,6501,2.870734809
720,10759,2.402335004
721,4743,2.171614176
722,8694,2.800174705
723,6455,2.793501304
724,12647,2.900838412
725,10538,1.636621444
726,10362,1.728248434
727,10274,2.186054804
728,10056,1.058285268
729,9970,3.39346603
730,16115,2.618573238
731,13917,3.035122735
732,13528,2.052412095
733,17343,2.43638358
734,17215,2.962273853
735,21119,2.822642623
736,20732,1.788598365
737,20733,2.650670751
738,25165,1.850513885
739,25030,2.350611611
740,24764,2.511156808
741,24459,3.005636685
742,24332,2.920650531
743,26652,2.275107826
744,29861,3.093532443
745,29779,2.210112364
746,31663,3.172079164
747,31535,3.066710949
748,35570,2.359298769
749,6500,1.372579609
750,12691,2.425866375
751,14580,3.177032309
752,8738,2.507772947
753,4655,3.069540555
754,4610,1.938592768
755,10670,2.818336897
756,10360,3.508583646
757,10053,3.733952254
758,9967,2.760986442
759,10057,3.130179962
760,16202,2.767793475
761,14094,3.261207653
762,13654,2.968306145
763,19671,3.316755613
764,17171,1.986288196
765,21427,2.413650899
766,20989,2.079361038
767,20814,1.850357572
768,24460,2.541475738
769,24333,2.553433823
770,24333,1.299543463
771,26742,1.772883648
772,26521,2.372652238
773,26345,3.178238016
774,26216,2.144522775
775,26132,2.224201089
776,30210,3.244543039
777,29734,2.719991521
778,31967,1.185327393
779,31749,2.194977097
780,31536,1.981067719
781,6498,1.903699538
782,4653,2.254332072
783,10449,2.268553164
784,8167,2.213819032
785,10230,2.72925623
786,16427,2.72611893
787,10011,2.653380772
788,8123,2.92992825
789,16336,2.458142741
790,14005,2.98883359
791,13874,1.772431538
792,13571,3.507524213
793,13700,1.339426072
794,19804,2.89849954
795,17650,2.238874096
796,17519,2.140126398
797,17344,0.985358844
798,17127,1.677505345
799,17085,1.696643029
800,18931,2.689711385
801,21562,2.260346257
802,21250,2.467761632
803,20815,1.487236803
804,24851,2.827245858
805,22875,2.544435903
806,24590,2.84605969
807,24334,1.629450091
808,24334,1.348788668
809,24290,2.21070244
810,26134,2.445130519
811,30345,3.032913714
812,30078,2.60330148
813,29992,2.457078906
814,29863,2.325870169
815,32102,1.332620568
816,31835,2.422132808
817,31619,2.361477076
818,10670,2.364454002
819,6849,2.422962735
820,12647,2.81081102
821,4654,2.592125728
822,10626,2.025442408
823,8340,2.531187688
824,14226,1.730343385
825,14050,2.2117173
826,13611,3.222517746
827,19894,2.962660521
828,17127,1.832332881
829,17212,2.956896692
830,23363,1.92463286
831,21120,2.735032118
832,20945,1.561913906
833,20900,3.177173802
834,24984,2.417402219
835,24416,3.360329522
836,26608,1.580682301
837,26347,1.915512052
838,26217,2.286282095
839,26135,3.312831671
840,29736,1.038033833
841,31538,2.723789861
842,35614,3.387635321
843,12559,2.420550595
844,12647,1.590914429
845,6412,2.011397971
846,8214,3.356414978
847,21383,2.532733261
848,25119,2.835568178
849,30210,3.242923916
850,29948,2.363824055
851,31922,2.514280454
852,31705,1.24493668
853,31621,1.520204369
854,35525,3.920255711
855,8343,2.818359496
856,6455,3.243154047
857,8386,2.641269392
858,8300,2.33594658
859,8257,2.300175031
860,13528,1.739691675
861,17128,2.65447822
862,21207,3.179100533
863,24764,1.894637064
864,24461,1.968072185
865,28278,1.67397154
866,6456,2.011038243
867,4699,2.194677378
868,8694,2.249863114
869,19101,2.419091593
870,20903,3.848429617
871,22660,1.594143466
872,6544,3.391810861
873,8782,2.423709431
874,6761,1.712204182
875,6499,3.649873447
876,6412,2.506861942
877,4655,2.376214058
878,8650,3.244692077
879,4655,2.772660863
880,8385,2.905850136
881,8211,1.209399585
882,10141,2.069572999
883,12073,2.830750999
884,11943,2.960709047
885,15674,1.925671146
886,17386,2.819784778
887,24984,2.942821629
888,4564,2.358585819
889,6497,1.6267707
890,8561,3.266976637
891,14490,2.408523445
892,16291,2.51821013
893,11725,2.089209661
894,15327,2.996437147
895,26176,2.336272326
896,31538,2.475024693
897,33337,3.406169148
898,6585,2.432832305
899,12602,2.666426568
900,6452,2.61037183
901,6411,3.035751469
902,6322,2.28784281
903,8429,1.492834179
904,10056,2.98661981
905,10057,2.598502402
906,10010,2.568259134
907,15894,2.65535724
908,17129,3.268326913
909,19451,2.883828773
910,6673,2.193646063
911,4609,2.942585496
912,4655,1.805744427
913,6761,2.019624529
914,12646,3.133430926
915,8561,1.087532619
916,8473,0.906358914
917,8168,2.635929327
918,9968,3.608885374
919,11815,3.81882726
920,13526,2.366852672
921,22702,2.96596471
922,6585,1.812516955
923,2808,1.60197833
924,4697,1.860959478
925,6541,1.837006402
926,6454,1.89453793
927,8297,1.789243602
928,9967,1.149413077
929,11768,2.67560656
930,22531,2.052669836
931,26389,2.387616206
932,4609,3.828974247
933,6718,3.666708237
934,6717,2.3473324
935,4609,2.643118913
936,6630,1.356540111
937,6367,1.745817772
938,8298,2.347048577
939,24546,1.339365653
940,26135,1.994961847
941,31619,2.968615354
942,6365,3.163224231
943,4653,2.491284421
944,4740,3.555058986
945,6806,2.845709738
946,6453,3.198136007
947,6629,2.597445469
948,6455,2.924762499
949,6542,2.35165597
950,4609,3.087604737
951,4565,3.018426833
952,6673,0.695260524
953,6629,0.579567152
954,6366,1.922503479
955,10011,2.106141303
956,16247,2.906231519
957,13526,2.159103149
958,15542,2.53905373
959,18885,3.461367953
960,24459,3.48517789
961,10670,2.765168235
962,6541,2.259559485
963,6497,1.494748132
964,4697,3.101546487
965,4740,2.719481061
966,6586,2.490136653
967,4609,2.637271809
968,8123,3.33632964
969,10185,2.300083305
970,12117,2.654172658
971,14137,2.142499198
972,11726,1.968184745
973,24375,2.408342322
974,31877,2.973483338
975,4565,3.20601446
976,6498,2.076368998
977,8256,2.697313605
978,6322,2.724628243
979,14446,1.913592273
980,8123,3.074970967
981,9925,0.890944151
982,11855,1.196693706
983,13785,2.365402727
984,13654,2.344454796
985,21031,3.195331466
986,26260,3.086859881
987,28408,1.947498371
988,29862,2.274066636
989,4564,2.363630392
990,2719,3.416593527
991,4654,2.672586734
992,6411,2.949836475
993,8341,0.843465285
994,16202,3.051792148
995,14181,1.941740828
996,11767,2.095864713
997,21426,3.06043515
998,20775,3.074672163
999,28061,1.329814693
1000,33295,2.945792495
1001,4521,0.62194586
1002,10757,2.967015531
1003,4654,3.582886224
1004,4610,3.5770069
1005,6320,2.922259856
1006,6366,2.350638392
1007,12647,3.212964152
1008,6497,1.633924208
1009,6322,2.288784102
1010,8121,3.553621301
1011,14314,3.709406984
1012,14270,3.21915928
1013,13568,0.890096065
1014,19318,1.706710836
1015,22573,2.574362408
1016,26347,1.688354059
1017,2852,2.555021371
1018,2764,2.406201504
1019,2809,2.858426225
1020,8253,1.235872042
1021,8123,1.357177234
1022,9968,2.71361945
1023,9924,2.984808094
1024,12205,1.78275747
1025,11941,2.565387463
1026,11725,2.739630044
1027,17129,3.324765953
1028,26696,2.258338498
1029,27892,2.758509341
1030,30034,1.049265182
1031,29735,1.762782371
1032,4565,1.919738861
1033,8869,3.375452712
1034,4654,2.607046358
1035,4742,3.663758412
1036,6498,2.304402784
1037,6411,3.800142287
1038,6366,2.658708351
1039,8210,0.430366264
1040,10273,1.10675534
1041,10143,2.63845479
1042,11770,2.501687613
1043,13656,1.482566386
1044,15762,2.970621413
1045,15369,1.829316953
1046,15327,1.742030217
1047,17649,2.220340056
1048,17170,1.606302013
1049,20772,3.107489527
1050,24335,2.49036928
1051,28191,1.144188003
1052,6456,1.046372465
1053,8738,2.66329193
1054,6544,3.063170714
1055,4611,3.001364932
1056,4701,3.257536384
1057,6457,3.356346571
1058,8342,2.589534042
1059,10186,1.292528408
1060,14403,2.748285734
1061,13526,3.736628105
1062,19187,3.075618224
1063,33423,2.936168234
1064,6455,3.046146092
1065,4698,2.527842647
1066,4655,3.378687756
1067,6501,2.292853183
1068,8300,2.011878328
1069,8256,3.342099506
1070,10014,2.809280441
1071,14095,2.681057475
1072,15500,2.890069978
1073,17344,2.646650889
1074,28103,2.499175627
1075,6498,1.958966235
1076,6498,1.834426344
1077,6456,2.096723882
1078,6457,1.281982544
1079,12514,3.10132159
1080,8388,3.483891333
1081,6456,2.615233536
1082,8257,2.442039922
1083,8258,4.022237187
1084,12558,3.718055471
1085,8258,1.846255368
1086,14359,2.636132757
1087,12163,3.206080252
1088,10011,2.822261881
1089,10013,2.809424051
1090,15413,2.516071501
1091,21516,2.771030392
1092,21250,2.441403698
1093,22532,2.403165819
1094,4697,3.102237088
1095,4785,2.05600455
1096,6762,1.432990241
1097,8693,2.56061869
1098,16516,3.206888889
1099,8825,3.07214356
1100,4786,2.632266044
1101,4610,2.904927023
1102,8386,2.391744414
1103,8429,2.878320816
1104,8253,2.375316811
1105,12293,2.357885244
1106,9969,1.727311944
1107,13829,1.935837572
1108,17475,2.442604343
1109,25030,2.78416677
1110,26520,1.861008696
1111,27933,2.031807096
1112,29904,1.63543186
1113,6673,1.481983134
1114,2987,3.047495602
1115,4654,3.040464286
1116,4741,3.044926442
1117,4654,2.373464934
1118,4655,2.478936466
1119,6541,1.689589622
1120,6410,1.791692259
1121,14314,2.450498413
1122,14226,3.207647913
1123,14182,2.258431621
1124,17213,2.103569646
1125,26091,2.532291179
1126,26090,3.032610777
1127,29776,1.57616605
1128,32057,2.45853438
1129,10625,2.914626389
1130,6718,1.561680515
1131,8694,2.672751846
1132,4654,2.781166051
1133,6674,1.994295868
1134,6630,1.816917912
1135,4655,2.724872598
1136,6585,2.358050945
1137,10670,1.329257562
1138,6499,1.913239595
1139,6411,1.730452464
1140,8475,1.431124168
1141,8299,2.644622094
1142,12514,3.346156328
1143,8256,1.539410965
1144,10057,3.115256854
1145,8212,3.138714349
1146,10361,3.035968211
1147,10187,2.668104899
1148,11986,2.613334673
1149,11899,3.074922166
1150,11813,2.833795478
1151,11770,1.481769964
1152,15586,3.009585071
1153,17256,3.189782212
1154,20731,2.610019981
1155,29992,3.011453652
1156,31705,3.133119691
1157,6455,3.237808362
1158,4654,2.623998891
1159,10583,2.857258785
1160,4743,2.732625262
1161,6455,1.961951973
1162,6674,0.610836894
1163,8346,3.116397485
1164,8257,2.22338719
1165,12471,2.665363216
1166,10363,2.871004914
1167,10145,3.376217632
1168,12250,2.575701255
1169,11856,1.851588401
1170,13743,1.973977604
1171,13571,3.006258648
1172,17651,3.735264405
1173,15328,2.510593367
1174,19583,3.461144699
1175,18974,2.592122892
1176,19015,3.124800358
1177,24808,2.483660651
1178,24677,2.249746404
1179,26177,2.853125785
1180,28019,3.197591042
1181,31835,1.21451115
1182,35525,2.940404795
1183,6499,2.241960688
1184,4655,1.687084396
1185,6805,2.829163323
1186,6806,1.677666435
1187,6807,2.85573387
1188,4654,3.24687332
1189,4655,2.615943465
1190,6545,2.563900216
1191,6763,2.696970776
1192,8693,3.737253037
1193,6456,2.469464132
1194,10626,2.132964867
1195,8473,2.849557722
1196,8300,2.538210688
1197,8257,2.882841862
1198,10407,2.256123403
1199,12426,2.439778555
1200,12294,3.020976282
1201,8213,3.067953447
1202,9970,2.086277683
1203,13569,2.028381569
1204,21561,1.649133531
1205,19144,2.355166923
1206,22616,3.113313405
1207,24334,1.758838443
1208,6588,2.207104232
1209,8694,3.28198763
1210,6543,2.350417692
1211,8562,3.262647604
1212,10537,2.852553893
1213,10451,2.485530037
1214,10187,2.406054625
1215,12338,2.758097878
1216,10012,2.52052799
1217,15370,1.712735701
1218,19362,2.340719086
1219,20943,3.404507435
1220,24417,1.491312807
1221,24376,2.204771488
1222,26173,3.50613238
1223,30345,1.977229081
1224,33337,3.16335262
1225,6453,0.661604083
1226,4655,1.972220866
1227,4742,1.463257449
1228,4700,2.450117541
1229,8650,2.058893652
1230,8561,2.496782997
1231,6455,1.866577806
1232,6411,2.392630971
1233,10538,2.406463955
1234,8342,2.767809617
1235,10449,2.904994573
1236,6367,2.165486249
1237,8167,2.569012669
1238,8169,3.001909632
1239,10186,2.033991104
1240,10099,2.689118586
1241,11726,1.158490377
1242,13918,2.00476799
1243,13700,2.670693742
1244,17172,3.149828013
1245,19057,2.435235754
