BinNo,Dsno,Distance,l,a,b,lx,ax,bx
69,6409,2.78946248565826,15.92058821,-7.426702332,-13.97787765,15,-5,-15,
70,6365,1.38518620706559,16.01083155,-10.80577807,-9.50232329,15,-10,-10,
71,8429,2.47711886429197,20.04862361,15.78804082,-42.34792361,20,15,-40,
72,10449,1.20724140361635,24.9750757,36.20252029,-65.10370891,25,35,-65,
73,6322,1.85224905292525,15.90663693,-16.38777429,-0.826388862,15,-15,0,
74,6321,1.52304971434203,16.14528083,-14.00011839,-4.909175891,15,-15,-5,
75,14358,1.84093008813653,33.90189726,61.28913466,-94.27797106,35,60,-95,
76,6279,1.90721372831283,15.8978152,-21.62605845,9.567188275,15,-20,10,
77,6278,1.77293105747386,16.11987177,-19.11782972,3.945985128,15,-20,5,
78,8385,2.3649670025672,20.03278644,10.68012967,-37.26482176,20,10,-35,
79,12382,1.81566891762337,28.60574946,45.33941809,-76.11243625,30,45,-75,
80,6237,3.06801469543715,15.96286606,-26.5519907,22.53485741,15,-25,25,
81,10405,1.25317351411395,24.93263198,31.14281969,-60.50977305,25,30,-60,
82,8341,2.6854000570612,20.17639852,5.970387361,-32.49772004,20,5,-30,
83,12470,3.32379552237175,32.46260961,54.37777728,-87.14383056,30,55,-85,
84,8296,2.78158278739888,20.39061495,1.272597789,-27.55764097,20,0,-30,
85,10361,1.11578145833618,24.9901053,25.87123613,-55.69700643,25,25,-55,
86,12338,2.01179264885051,28.68239946,40.06653563,-71.51881911,30,40,-70,
87,14314,1.59087002073393,33.81681628,56.01411677,-89.67982679,35,55,-90,
88,8037,3.43388117924159,17.70178148,-27.71784078,23.85917535,20,-30,25,
89,8252,3.08958905421678,20.30615938,-2.639029884,-23.03082579,20,-5,-25,
90,8253,1.51261580656022,20.32539884,-6.040901218,-18.95183645,20,-5,-20,
91,10317,1.64610172023871,24.85052283,21.16787107,-51.15038455,25,20,-50,
92,8210,2.38795400954966,20.04155177,-12.34533462,-10.44721731,20,-10,-10,
93,12294,2.24980828762653,28.52873213,34.83401873,-66.69394758,30,35,-65,
94,8166,0.912203840557267,20.12849254,-15.80612813,-5.407139966,20,-15,-5,
95,8209,1.65956247081124,20.71186183,-10.44596426,-13.56873615,20,-10,-15,
96,10273,1.97807802876286,24.78072502,16.35037621,-46.42870405,25,15,-45,
97,14270,1.63784363201914,33.66628758,50.93929646,-85.14650974,35,50,-85,
98,8123,2.08641810186326,20.09558266,-20.76964085,3.063080432,20,-20,5,
99,8122,1.65143506432987,20.29593094,-18.65712951,-0.914528019,20,-20,0,
100,8165,1.78226542676342,20.81473721,-13.59472642,-9.266597317,20,-15,-10,
101,8080,2.02496042974349,20.13478953,-25.38877954,13.01728797,20,-25,15,
102,8079,2.28038252700575,20.29891531,-23.48065777,8.325964966,20,-25,10,
103,10229,2.76639593040436,24.85702122,11.8818309,-42.02267545,25,10,-40,
104,12250,2.53436877342942,28.56271778,29.76413692,-62.07403315,30,30,-60,
105,14358,2.72729725985807,37.48884427,59.93845579,-96.11356044,35,60,-95,
106,8038,2.42500951702755,20.20200106,-30.07349822,27.58453633,20,-30,30,
107,10185,2.76788382027462,24.92122584,6.947575708,-36.96517794,25,5,-35,
108,12249,1.47691025745081,29.82278402,31.3997354,-64.5634233,30,30,-65,
109,14226,1.54113770179465,33.6242899,45.5763302,-80.38777653,35,45,-80,
